FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,MPA,PED,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL,,,,
10/10/2016,4,-99,6,4,16,-99,5,9,14,-99,-99,3,4,-99,11,6,-99,3,-99,1,12,1,-99,6,13,,,,
10/10/2016,5,-99,9,13,13,-99,9,1,25,-99,-99,2,11,-99,10,6,-99,13,-99,5,15,5,-99,10,13,,,,
10/10/2016,6,-99,9,16,14,-99,9,13,26,-99,-99,2,9,-99,12,10,-99,13,-99,16,23,32,-99,27,32,,,,
10/10/2016,7,-99,12,26,17,-99,19,-99,32,-99,-99,2,12,-99,13,12,-99,19,-99,19,22,38,-99,25,28,,,,
10/10/2016,8,-99,11,26,15,-99,26,13,36,-99,-99,3,16,-99,10,11,-99,16,-99,29,34,46,-99,38,23,,,,
10/10/2016,9,-99,8,-99,16,-99,32,15,29,-99,-99,3,15,-99,13,15,-99,19,-99,18,30,54,-99,35,11,,,,
10/10/2016,10,-99,6,-99,14,-99,30,10,3,-99,-99,4,14,-99,13,12,-99,29,-99,20,28,37,-99,21,18,,,,
10/10/2016,11,-99,10,-99,12,-99,28,19,15,-99,-99,7,13,-99,13,16,-99,10,-99,14,36,26,-99,22,23,,,,
10/10/2016,12,-99,13,-99,18,-99,26,11,16,-99,-99,11,12,-99,16,24,-99,24,-99,18,29,14,-99,1,25,,,,
10/10/2016,13,-99,13,61,24,-99,23,17,15,-99,-99,13,8,-99,22,25,-99,20,-99,12,30,24,-99,10,22,,,,
10/10/2016,14,-99,23,54,29,-99,35,15,20,-99,-99,14,13,-99,23,29,-99,17,-99,24,33,15,-99,15,30,,,,
10/10/2016,15,-99,25,38,39,-99,43,37,26,-99,-99,-99,21,-99,32,38,-99,20,-99,28,37,18,-99,10,16,,,,
10/10/2016,16,-99,30,33,41,-99,42,35,36,-99,-99,-99,26,-99,35,35,-99,17,-99,33,45,26,-99,37,15,,,,
10/10/2016,17,-99,44,40,35,-99,35,23,30,-99,-99,-99,20,-99,29,43,-99,21,-99,24,44,40,-99,33,40,,,,
