FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
05/07/2015,3,-99,7,26,-99,43,-99,-99,25,12,-99,-99,35,-99,-99,-99,-99,-99,34,8,17,-99,28,-99,-99,-99,11,-99,25,-99,17,17,43,49
05/07/2015,4,-99,4,23,-99,42,22,-99,27,9,20,-99,32,-99,31,-99,-99,33,31,5,14,18,21,-99,32,-99,6,45,41,-99,11,17,38,38
05/07/2015,5,-99,4,23,-99,37,14,-99,24,10,19,-99,29,-99,27,-99,-99,31,30,4,15,14,19,-99,30,-99,7,32,33,-99,9,20,31,30
05/07/2015,6,-99,12,17,-99,32,16,-99,20,28,19,-99,28,-99,27,-99,-99,30,27,12,26,13,17,-99,30,-99,10,37,31,-99,10,19,30,28
05/07/2015,7,-99,10,17,-99,30,15,-99,21,26,19,-99,28,-99,28,-99,-99,26,21,16,33,17,23,-99,27,-99,18,28,35,-99,14,26,32,29
05/07/2015,8,-99,12,19,-99,32,15,-99,23,20,20,-99,30,-99,28,-99,-99,31,23,12,34,18,23,-99,27,-99,17,28,27,-99,17,24,31,33
05/07/2015,9,-99,19,12,-99,35,27,-99,32,25,19,-99,37,-99,35,-99,-99,29,27,10,36,26,22,-99,27,-99,16,28,31,-99,22,27,24,31
05/07/2015,10,-99,14,16,-99,36,29,-99,30,14,17,-99,40,-99,35,-99,-99,30,23,10,28,24,21,-99,31,-99,14,32,31,-99,27,33,19,28
05/07/2015,11,-99,11,17,-99,35,15,-99,23,7,12,-99,32,-99,35,-99,-99,30,23,9,29,15,21,-99,28,-99,19,33,27,-99,25,34,16,30
05/07/2015,12,-99,13,13,-99,29,23,-99,25,11,7,-99,26,-99,27,-99,-99,26,18,11,18,18,20,-99,18,-99,25,25,17,-99,24,28,10,27
05/07/2015,13,-99,16,13,-99,23,17,-99,22,12,6,-99,22,-99,27,-99,-99,22,19,11,12,16,13,-99,15,-99,17,20,10,-99,21,16,5,17
05/07/2015,14,-99,15,10,-99,23,18,-99,21,12,5,-99,19,-99,19,-99,-99,18,16,11,11,15,11,-99,15,-99,12,19,9,-99,13,9,6,16
05/07/2015,15,-99,17,11,-99,19,14,-99,17,17,4,-99,18,-99,18,-99,-99,17,17,12,10,14,10,-99,11,-99,8,20,8,-99,9,10,5,16
05/07/2015,16,-99,13,10,-99,17,24,-99,17,19,5,-99,13,-99,16,-99,-99,16,16,11,13,13,10,-99,8,-99,7,15,8,-99,9,9,6,18
05/07/2015,17,-99,13,-99,-99,18,17,-99,17,20,7,-99,15,-99,19,-99,-99,13,17,10,17,12,17,-99,13,-99,7,22,11,-99,7,11,11,15
05/07/2015,18,-99,14,13,-99,25,15,-99,18,17,14,-99,22,-99,23,-99,-99,27,21,17,19,16,23,-99,19,-99,8,29,16,-99,11,13,12,26
05/07/2015,19,-99,9,17,-99,24,17,-99,24,19,16,-99,29,-99,31,-99,-99,35,23,30,31,17,24,-99,26,-99,-99,30,21,-99,16,26,16,32
