"mes","mean.TLA","mean.MER","mean.UIZ","mean.PED","mean.SAG","mean.XAL","cont"
"06/2011",24.8746268656716,26.9338129496403,20.907949790795,19.8197424892704,17.2315789473684,24.8311306901615,720
"06/2012",32.4569536423841,35.0578034682081,26.5226586102719,22.6264534883721,25.3373676248109,28.8476331360947,720
"06/2013",29.9627906976744,33.0819912152269,26.9652173913043,22.9102749638206,21.3553008595989,28.4163424124514,720
"06/2014",25.9704049844237,28.2082717872969,23.4650499286733,20.2335907335907,20.7859195402299,23.6401225114855,720
"06/2015",31.1650071123755,34.4105571847507,26.9957203994294,22.1100917431193,20.7387640449438,30.4549295774648,720
"06/2016",31.1515151515152,33.0317919075145,27.1201716738197,22.7200811359026,20.3340471092077,29.5573770491803,720
"06/2017",24.8851744186047,28.0624092888244,22.7579113924051,18.6514032496307,19.6411149825784,22.5287958115183,720
"06/2018",28.7973174366617,29.806916426513,22.5570175438597,20.0201438848921,18.5367762128325,26.4028520499109,720
"06/2019",24.3513909224012,26.0258992805755,21.5168539325843,17.0734265734266,15.7596685082873,23.4685628742515,720
"06/2020",19.4219001610306,19.1965317919075,15.0492753623188,10.8804841149773,12.8163265306122,NA,720
"07/2005",26.9646739130435,26.0251748251748,29.0691056910569,16.3563685636856,18.8463611859838,26.3021680216802,744
"07/2006",28.0151098901099,32.1139240506329,28.7997179125529,20.8095890410959,19.9565807327001,31.9157024793388,744
"07/2007",24.0467032967033,33.1586867305062,29.1009549795362,21.5778097982709,21.7556497175141,27.1775147928994,744
"07/2008",30.3286516853933,32.0243161094225,26.2131837307153,21.9657064471879,21.444279346211,25.0160116448326,744
"07/2009",27.4774011299435,24.5138888888889,23.2358757062147,19.2219178082192,15.2186177715092,21.7640449438202,744
"07/2010",26.378453038674,26.2660300136426,22.201668984701,21.4240766073871,17.6666666666667,17.2401091405184,744
"07/2011",25.7841945288754,28.5703275529865,26.1014884979702,20.6541666666667,18.7762557077626,25.3079056865465,744
"07/2012",31.4792560801144,35.2272089761571,28.8213627992634,24.2419127988748,24.2945402298851,29.0782361308677,744
"07/2013",27.7316384180791,32.6804564907275,26.5865384615385,21.6169544740973,20.5075034106412,27.1155492154066,744
"07/2014",27.1459369817579,32.0391389432485,25.8383977900553,20.435261707989,20.8509615384615,26.2520775623269,744
"07/2015",30.8903133903134,33.7213793103448,28.567081604426,20.8328267477204,21.8242506811989,32.1688125894134,744
"07/2016",28.7760342368046,31.387573964497,24.5646853146853,19.5056022408964,21.4428364688857,26.7189265536723,744
"07/2017",30.1453744493392,31.9432624113475,27.7786998616874,21.3212290502793,23.5944055944056,30.1518624641834,744
"07/2018",25.2429210134128,30.2680555555556,24.9121813031161,18.0215053763441,19.9541984732824,25.9429386590585,744
"07/2019",25.400289017341,29.7619047619048,24.5429553264605,18.8739130434783,19.0498442367601,26.912676056338,744
"07/2020",22,21.943741209564,17.7377963737796,12.0184921763869,15.1458923512748,NA,744
"08/2005",24.6489071038251,25.0653950953678,28.8408163265306,32.8302687411598,19.2926829268293,29.5672082717873,744
"08/2006",31.023097826087,35.499316005472,26.7926330150068,23.168249660787,21.4521497919556,33.514409221902,744
"08/2007",19.9419448476052,29.9147727272727,25.0765027322404,21.4439890710383,18.8358620689655,21.2517985611511,744
"08/2008",31.2237762237762,32.3694083694084,27.5318246110325,22.8392101551481,21.9307479224377,33.096837944664,744
"08/2009",25.6455696202532,22.1393442622951,23.3889674681754,18.7674050632911,15.7916666666667,19.5276461295419,744
"08/2010",22.7241379310345,27.6209912536443,21.5608391608392,18.0441379310345,14.6661849710983,20.1388499298738,744
"08/2011",24.7009345794393,25.8476727785614,22.2277091906722,17.7352496217852,18.7260273972603,23.7036011080332,744
"08/2012",27.6542857142857,31.2638888888889,26.4790874524715,23.2988165680473,21.8375350140056,24.1290322580645,744
"08/2013",26.2807525325615,29.986013986014,25.7373461012312,20.2635983263598,18.3490959666203,22.9081920903955,744
"08/2014",26.7693389592124,NA,24.4888579387187,19.9021582733813,19.9467554076539,24.1759656652361,744
"08/2015",28.3268365817091,29.6974921630094,24.8437935843794,20.0832177531207,19.0523338048091,27.3977900552486,744
"08/2016",27.9162303664921,31.3027950310559,25.2106038291605,19.4763888888889,20.4455172413793,26.6464788732394,744
"08/2017",30.588141025641,30.171875,23.1933621933622,19.0843706777317,19.0598290598291,23.0486111111111,744
