FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,PLA,SAG,TAX,IZT
24/11/2008,11,-99,139,218,161,72,151,-99,-99,108,-99,142,125,123,-99,167
24/11/2008,12,-99,103,150,110,70,114,-99,-99,56,-99,69,92,107,-99,172
24/11/2008,13,-99,99,121,-99,33,52,-99,-99,60,-99,34,17,33,-99,83
24/11/2008,14,-99,109,47,51,32,68,-99,-99,56,-99,61,54,56,-99,53
24/11/2008,15,-99,76,105,69,57,66,-99,-99,88,-99,57,54,69,-99,46
24/11/2008,16,-99,94,130,73,55,66,-99,-99,66,-99,59,41,67,-99,46
24/11/2008,17,-99,90,125,97,60,48,-99,-99,100,-99,68,71,117,-99,-99
24/11/2008,18,-99,133,133,128,54,82,-99,-99,105,-99,67,59,103,-99,-99
24/11/2008,19,-99,138,128,157,74,91,-99,-99,124,-99,100,90,112,-99,-99
24/11/2008,20,-99,95,110,102,82,85,-99,-99,93,-99,69,81,69,-99,80
24/11/2008,21,-99,76,79,78,49,52,-99,-99,61,-99,39,56,51,-99,62
24/11/2008,22,-99,53,50,47,34,36,-99,-99,46,-99,23,32,41,-99,33
24/11/2008,23,-99,33,29,31,21,15,-99,-99,31,-99,18,18,21,-99,33
24/11/2008,24,-99,-99,18,61,13,11,-99,-99,20,-99,-99,13,13,-99,20
25/11/2008,1,-99,-99,20,19,8,7,-99,-99,11,-99,-99,9,15,-99,19
25/11/2008,2,-99,-99,17,16,10,1,-99,-99,10,-99,-99,9,11,-99,22
25/11/2008,3,-99,7,23,10,-99,10,-99,-99,11,-99,-99,-99,13,-99,28
25/11/2008,4,-99,5,17,8,4,8,-99,-99,10,-99,4,5,20,-99,17
25/11/2008,5,-99,12,28,18,6,15,-99,-99,19,-99,8,6,31,-99,12
