FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,SAG,TAX,IZT
05/01/2010,2,13,1,15,12,4,2,-99,2,3,8,1,8,7,14
05/01/2010,3,2,-99,27,7,9,1,-99,-99,3,5,2,5,1,10
05/01/2010,4,-99,1,29,8,-99,4,-99,-99,9,1,2,4,2,12
05/01/2010,5,1,6,43,8,2,-99,5,4,2,-99,2,8,1,1
05/01/2010,6,12,16,64,23,7,3,11,10,3,4,3,12,4,-99
05/01/2010,7,35,16,81,34,8,9,19,22,13,8,5,22,14,28
05/01/2010,8,27,26,84,44,7,16,31,43,24,15,14,33,18,30
05/01/2010,9,50,49,114,38,17,21,42,52,34,20,15,55,27,20
05/01/2010,10,44,39,132,50,19,36,43,71,26,24,-99,47,25,24
05/01/2010,11,50,34,130,59,23,37,36,61,26,26,-99,40,29,29
05/01/2010,12,55,44,106,61,23,58,52,43,29,36,-99,23,46,36
05/01/2010,13,68,59,71,66,35,66,64,26,42,48,40,32,62,71
05/01/2010,14,56,59,74,56,47,81,68,72,54,-99,62,16,76,55
05/01/2010,15,46,69,70,54,52,73,78,93,72,-99,55,27,82,82
05/01/2010,16,31,54,68,40,50,69,58,65,63,76,38,16,82,64
05/01/2010,17,30,85,77,39,58,64,65,52,35,58,41,20,62,55
05/01/2010,18,52,88,68,61,61,58,62,72,36,35,45,32,47,61
05/01/2010,19,68,92,148,72,66,47,101,144,30,25,79,55,28,81
05/01/2010,20,40,94,96,25,8,25,71,72,23,22,66,57,14,55
05/01/2010,21,27,65,79,30,40,27,42,51,-99,12,50,43,10,24
05/01/2010,22,85,46,70,59,62,41,44,47,31,72,45,58,66,58
05/01/2010,23,69,46,90,44,45,53,35,41,47,47,38,34,50,63
05/01/2010,24,28,40,62,37,40,36,30,36,49,41,36,-99,34,43
06/01/2010,1,42,52,56,41,26,27,36,36,44,46,38,-99,35,40
06/01/2010,2,39,48,62,41,35,22,32,52,37,28,36,40,25,47
06/01/2010,3,45,53,44,27,35,22,31,44,40,23,41,42,21,40
06/01/2010,4,44,56,45,32,29,25,39,44,45,32,37,45,28,21
06/01/2010,5,33,82,58,32,33,28,37,44,35,34,37,38,33,56
06/01/2010,6,35,67,99,35,35,26,46,44,37,34,38,43,28,46
06/01/2010,7,41,79,128,44,30,31,40,47,60,43,40,39,39,40
06/01/2010,8,51,83,138,58,17,52,43,66,57,59,45,60,47,49
06/01/2010,9,65,57,135,49,27,76,109,102,68,65,53,57,53,61
06/01/2010,10,78,88,138,61,46,115,117,96,67,65,60,70,67,63
06/01/2010,11,81,74,131,68,68,89,88,92,59,70,73,-99,83,72
06/01/2010,12,56,66,113,56,62,82,52,45,53,93,65,-99,72,77
06/01/2010,13,46,67,107,36,54,52,4,26,-99,72,50,-99,58,58
06/01/2010,14,63,49,97,37,45,37,20,60,-99,44,60,48,23,56
06/01/2010,15,69,44,73,48,49,32,46,44,49,45,45,49,51,52
06/01/2010,16,60,55,96,94,64,53,19,28,36,55,46,50,61,51
06/01/2010,17,41,33,88,52,73,56,31,46,-99,80,34,44,91,69
06/01/2010,18,36,44,90,44,58,80,60,97,-99,63,26,49,62,62
06/01/2010,19,66,91,119,67,123,118,77,112,-99,98,27,85,138,43
06/01/2010,20,43,79,90,47,55,68,68,84,98,73,64,51,92,29
06/01/2010,21,45,59,80,34,18,56,35,65,60,39,49,47,10,48
06/01/2010,22,79,34,71,55,3,45,36,35,54,56,43,38,46,59
06/01/2010,23,87,52,72,33,14,61,31,56,50,41,56,45,69,66
06/01/2010,24,25,46,60,20,22,65,104,108,51,31,57,44,76,46
07/01/2010,1,32,47,40,38,18,49,64,71,56,29,45,42,45,56
07/01/2010,2,50,32,46,54,23,44,70,76,55,38,37,50,33,56
07/01/2010,3,40,24,54,46,22,36,37,65,57,31,29,39,14,61
07/01/2010,4,46,24,59,44,31,41,40,62,52,30,26,37,19,52
07/01/2010,5,32,31,84,34,25,56,44,65,22,55,29,36,48,50
07/01/2010,6,40,35,120,61,23,61,65,69,38,66,34,46,68,59
07/01/2010,7,53,71,128,49,34,60,70,67,51,63,42,62,62,82
07/01/2010,8,66,73,211,73,44,78,66,111,56,54,65,67,65,94
07/01/2010,9,87,97,149,89,70,80,135,160,86,62,89,65,66,83
07/01/2010,10,76,101,138,89,59,86,138,126,97,71,82,76,68,88
07/01/2010,11,87,101,139,-99,34,-99,93,88,42,54,83,84,60,73
07/01/2010,12,73,113,140,-99,41,-99,89,88,26,37,70,76,47,67
07/01/2010,13,81,87,131,71,43,-99,67,81,37,50,103,60,50,73
07/01/2010,14,88,81,120,70,48,81,52,49,45,46,90,67,48,86
07/01/2010,15,89,78,141,67,54,72,56,46,28,49,78,68,50,80
07/01/2010,16,93,81,123,77,54,73,59,45,51,60,82,74,59,82
07/01/2010,17,109,81,148,72,69,63,41,64,30,96,80,73,56,80
07/01/2010,18,97,91,146,61,104,96,115,88,50,105,68,77,79,62
07/01/2010,19,86,44,89,81,158,65,103,123,81,124,35,106,189,71
07/01/2010,20,55,39,60,43,70,58,39,50,126,69,24,49,56,53
07/01/2010,21,20,14,28,21,5,43,26,19,53,18,17,20,28,40
07/01/2010,22,25,14,21,27,11,39,16,9,44,19,21,18,49,29
07/01/2010,23,18,13,56,19,3,34,16,32,29,14,11,20,22,46
07/01/2010,24,12,11,40,16,-99,33,7,20,20,2,13,21,5,43
08/01/2010,1,13,10,27,17,1,24,6,13,20,9,12,21,14,33
08/01/2010,2,8,10,24,7,5,23,8,10,30,8,11,10,7,32
08/01/2010,3,11,13,23,12,-99,22,6,15,-99,3,5,12,7,36
08/01/2010,4,26,13,22,18,8,21,10,17,-99,14,9,17,17,28
08/01/2010,5,29,14,30,19,19,22,15,18,11,14,12,13,13,28
08/01/2010,6,28,13,30,15,10,25,22,14,15,-99,13,19,11,27
08/01/2010,7,23,20,30,21,6,28,22,19,9,-99,15,23,17,27
08/01/2010,8,30,26,41,29,20,30,32,25,6,-99,18,26,30,29
08/01/2010,9,21,33,43,32,28,16,47,24,24,-99,28,16,13,27
08/01/2010,10,11,39,27,5,1,13,44,45,7,-99,18,12,-99,24
08/01/2010,11,-99,5,10,-99,-99,4,-99,7,-99,-99,30,8,-99,12
08/01/2010,12,-99,15,18,-99,-99,11,-99,20,-99,-99,12,10,-99,15
08/01/2010,13,21,-99,36,11,-99,39,-99,14,-99,-99,3,8,47,8
08/01/2010,14,30,43,17,4,12,28,-99,32,-99,-99,23,4,26,17
08/01/2010,15,16,62,83,23,26,22,-99,13,-99,-99,36,18,-99,16
08/01/2010,16,37,6,71,37,30,43,-99,53,-99,20,8,33,22,23
08/01/2010,17,17,10,42,18,25,31,-99,15,-99,47,7,16,118,27
08/01/2010,18,10,29,50,20,24,22,12,18,38,21,18,31,43,29
08/01/2010,19,1,39,47,12,25,25,10,-99,15,19,19,34,25,11
08/01/2010,20,7,21,20,15,29,24,4,29,9,16,9,20,6,11
08/01/2010,21,32,37,35,18,26,26,29,6,12,15,15,25,24,20
08/01/2010,22,67,48,47,32,28,36,11,3,17,14,21,18,67,-99
08/01/2010,23,61,15,31,25,23,26,-99,16,32,36,18,7,37,37
08/01/2010,24,17,3,23,4,28,18,5,14,29,21,5,10,22,30
09/01/2010,1,22,13,27,10,26,11,14,18,10,11,5,14,2,28
09/01/2010,2,20,25,25,7,16,9,11,9,7,5,7,11,8,17
09/01/2010,3,-99,23,22,2,11,6,19,8,7,2,8,4,1,25
09/01/2010,4,7,20,20,10,16,14,5,14,9,8,25,12,12,14
09/01/2010,5,13,34,29,14,20,17,22,5,6,11,25,17,8,17
09/01/2010,6,1,48,22,11,24,16,30,27,6,14,28,13,15,24
09/01/2010,7,10,48,29,21,27,20,22,15,7,21,29,20,36,18
09/01/2010,8,34,40,45,38,29,32,35,24,12,26,28,24,45,26
09/01/2010,9,57,47,65,49,37,32,23,21,26,38,36,23,40,36
09/01/2010,10,39,39,28,39,31,49,10,35,34,44,38,19,62,41
09/01/2010,11,40,27,35,35,39,23,-99,23,18,27,13,26,60,40
09/01/2010,12,37,33,37,22,21,20,47,15,-99,23,7,11,26,31
09/01/2010,13,13,47,37,16,19,17,15,8,26,22,19,6,21,26
09/01/2010,14,17,31,-99,4,22,-99,-99,-99,8,-99,18,9,-99,16
09/01/2010,15,3,37,23,5,21,15,15,6,-99,14,30,10,-99,13
09/01/2010,16,30,35,33,14,21,19,13,2,5,14,24,12,-99,17
09/01/2010,17,37,37,19,28,22,20,20,28,14,15,23,14,-99,18
09/01/2010,18,30,34,40,16,24,32,37,26,24,25,35,19,11,24
09/01/2010,19,46,30,34,24,25,28,11,27,14,29,36,20,39,24
09/01/2010,20,33,25,32,10,27,26,32,20,18,23,16,29,36,24
09/01/2010,21,12,29,22,19,21,26,25,28,24,19,24,16,16,19
09/01/2010,22,3,18,16,15,25,16,6,19,7,24,22,11,20,17
09/01/2010,23,1,7,14,7,18,10,8,12,-99,5,13,11,-99,13
09/01/2010,24,5,23,10,11,15,8,8,9,3,4,17,13,-99,16
