FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,PLA,UIZ,IMP,TAX,MIN,TLI,VIF,SAG,VAL,SUR,IZT,CHO
06/01/2007,12,1.0,1.8,1.6,1.6,1.1,0.8,0.8,1.1,0.9,0.5,1.4,2.4,1.8,0.9,1.2,1.3,1.2,-99,-99
06/01/2007,13,0.8,1.4,1.3,2.0,-99,0.5,0.7,0.8,0.6,0.4,1.4,2.5,1.2,0.7,1.0,1.3,1.2,-99,-99
06/01/2007,14,0.7,1.4,0.9,1.6,1.1,0.6,0.6,0.7,0.5,0.4,1.4,2.2,1.0,0.4,0.8,1.5,1.0,-99,-99
06/01/2007,15,0.7,1.1,0.9,1.8,0.9,0.2,0.6,0.6,0.4,0.3,2.2,2.2,0.8,0.4,0.7,1.4,1.0,-99,-99
06/01/2007,16,0.8,1.2,1.0,1.9,0.8,0.4,0.6,0.6,0.4,0.3,1.9,2.2,0.7,0.4,0.7,1.4,1.1,-99,-99
06/01/2007,17,1.0,1.2,1.0,1.6,1.2,0.2,0.7,0.8,0.4,0.3,2.0,2.2,0.8,0.5,0.6,1.5,1.0,-99,-99
06/01/2007,18,1.0,1.4,1.1,1.8,1.1,0.5,0.7,0.9,0.5,0.4,1.7,2.2,1.3,0.5,1.1,1.5,1.0,-99,-99
06/01/2007,19,1.5,1.7,2.7,2.6,1.1,0.6,0.6,1.0,0.8,0.6,1.1,2.5,2.1,1.5,1.6,1.8,1.1,-99,-99
06/01/2007,20,1.7,1.7,2.3,2.1,1.2,1.1,1.7,1.3,1.3,0.8,2.3,3.0,1.2,1.0,1.5,2.1,1.6,-99,-99
06/01/2007,21,2.3,2.2,1.0,3.4,1.5,1.9,1.7,1.1,2.2,0.9,1.6,4.2,1.0,1.3,1.7,1.9,1.7,-99,-99
06/01/2007,22,1.9,3.2,2.3,2.9,2.5,1.9,1.6,1.2,2.1,0.9,1.8,4.3,1.5,1.6,1.7,3.4,1.5,-99,-99
06/01/2007,23,2.3,3.0,2.1,2.6,2.2,2.0,1.7,1.7,1.9,1.5,1.5,4.5,2.3,2.3,1.6,3.8,1.7,-99,-99
06/01/2007,24,2.2,2.2,1.6,2.3,3.7,2.6,1.6,1.8,2.4,1.6,1.7,3.9,1.2,2.2,2.0,2.6,1.5,-99,-99
07/01/2007,1,2.1,1.7,1.5,2.6,2.3,3.2,1.7,1.4,2.2,1.2,1.4,3.9,1.7,1.6,2.5,2.3,1.5,-99,-99
07/01/2007,2,1.5,1.0,1.2,2.1,2.2,2.0,0.7,1.6,1.4,1.1,1.7,3.9,1.4,1.9,2.7,2.7,2.5,-99,-99
07/01/2007,3,1.3,0.7,0.8,1.1,2.1,1.5,0.5,0.9,1.1,1.2,1.6,3.5,1.9,1.6,2.7,3.2,2.1,-99,-99
07/01/2007,4,0.9,0.6,0.6,0.9,1.7,1.5,0.4,0.7,1.0,0.7,1.3,3.5,1.3,1.2,2.3,2.4,1.6,-99,-99
07/01/2007,5,0.6,0.5,0.7,0.7,2.1,1.9,0.4,0.6,0.9,0.6,1.1,3.9,1.5,0.9,2.0,1.8,1.8,-99,-99
07/01/2007,6,0.9,0.5,0.6,0.7,2.3,1.9,0.3,0.7,1.5,0.5,1.7,3.9,1.4,0.9,1.8,1.7,2.0,-99,-99
07/01/2007,7,1.6,0.7,0.9,1.0,2.8,1.8,0.3,1.1,1.6,0.9,1.4,4.4,0.8,0.8,1.7,1.9,2.0,-99,-99
07/01/2007,8,1.5,1.3,1.4,1.0,5.0,3.1,0.5,1.3,2.4,0.8,1.6,4.7,1.9,1.7,2.5,3.2,1.9,-99,-99
07/01/2007,9,1.5,1.5,1.3,1.9,3.6,3.9,0.8,2.1,3.4,0.7,2.2,4.6,1.9,1.0,3.0,3.3,1.9,-99,-99
07/01/2007,10,1.4,1.7,0.7,2.5,2.6,2.1,1.6,2.0,2.5,0.8,2.7,4.7,1.5,0.8,2.7,2.5,1.5,-99,-99
07/01/2007,11,1.1,1.3,0.8,2.0,2.3,1.6,1.2,1.8,1.6,0.6,2.5,3.6,1.2,0.6,2.1,1.8,1.3,-99,-99
07/01/2007,12,0.9,1.3,0.7,1.6,2.0,1.1,1.2,1.5,1.3,0.5,2.5,2.5,1.1,0.7,1.7,1.6,1.5,-99,-99
