FECHA,HORA,ACO,ATI,CAM,CHO,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
22/08/2014,13,1,15,6,-99,-99,8,3,10,4,-99,4,-99,6,-99,5,7,-99,9,6,6,4,-99,5,6,5,5,2,8
22/08/2014,14,2,5,6,3,-99,6,3,11,4,-99,1,-99,6,-99,3,6,-99,7,4,5,3,-99,-99,5,4,5,2,5
22/08/2014,15,2,3,4,2,3,4,3,8,4,-99,1,-99,4,-99,3,5,-99,5,3,4,4,-99,2,3,3,4,2,3
22/08/2014,16,2,2,4,1,3,3,4,5,4,-99,1,-99,4,-99,3,4,-99,3,3,4,4,-99,2,2,4,4,2,3
22/08/2014,17,3,3,3,1,3,2,5,5,4,-99,1,-99,4,-99,3,3,-99,3,3,3,3,-99,2,2,3,4,2,3
22/08/2014,18,2,3,3,1,2,2,4,4,3,-99,1,-99,4,-99,1,3,-99,3,3,2,2,-99,3,1,2,3,1,3
22/08/2014,19,2,2,3,2,1,2,2,5,2,-99,1,-99,3,-99,2,2,-99,2,2,2,1,-99,2,1,1,3,1,3
22/08/2014,20,1,1,3,1,1,3,2,2,2,-99,1,-99,3,-99,2,2,-99,3,2,2,1,-99,2,1,2,2,1,2
22/08/2014,21,2,1,3,1,1,2,2,2,2,-99,0,-99,3,-99,1,2,-99,2,3,2,1,-99,2,1,2,2,1,2
22/08/2014,22,1,1,2,1,1,2,2,2,2,-99,0,-99,3,-99,1,2,-99,2,1,1,1,-99,2,1,2,3,1,1
22/08/2014,23,1,1,2,1,1,1,2,2,2,-99,1,-99,3,-99,1,2,-99,2,0,1,1,-99,1,1,2,3,1,1
22/08/2014,24,1,1,3,1,1,1,2,2,3,2,0,-99,3,-99,1,2,-99,1,0,1,1,-99,1,0,2,3,1,1
23/08/2014,1,1,1,3,2,1,0,1,2,3,2,0,-99,3,-99,1,2,-99,1,1,1,1,2,2,0,1,2,1,1
23/08/2014,2,1,1,2,5,1,0,1,2,2,1,0,-99,3,-99,2,2,-99,1,1,1,1,2,1,0,1,2,1,2
23/08/2014,3,2,1,2,2,1,1,1,2,2,1,0,-99,3,-99,2,2,-99,1,1,1,1,2,1,0,1,3,1,1
23/08/2014,4,1,0,1,2,1,1,2,1,2,1,0,-99,3,-99,1,1,-99,1,1,0,1,2,1,0,1,3,1,1
23/08/2014,5,1,1,2,5,1,0,2,2,2,1,0,-99,3,-99,1,2,-99,1,2,1,1,2,1,0,2,3,1,1
23/08/2014,6,1,1,2,2,1,0,1,2,3,2,1,-99,3,-99,1,2,-99,1,3,1,1,2,1,0,2,3,1,2
23/08/2014,7,2,1,2,2,1,1,2,3,2,2,1,-99,3,-99,1,2,-99,1,1,1,1,3,1,1,2,3,1,3
23/08/2014,8,2,1,3,2,2,1,2,3,3,2,1,-99,3,-99,2,-99,-99,2,3,1,1,6,1,1,2,4,2,3
23/08/2014,9,2,2,4,1,1,1,3,3,2,2,1,-99,-99,-99,1,2,-99,1,2,2,1,-99,2,1,2,3,2,3
23/08/2014,10,2,1,2,1,1,1,3,5,2,1,1,-99,2,-99,1,2,-99,1,2,2,1,4,2,1,2,2,2,3
23/08/2014,11,2,1,2,1,1,1,3,3,2,1,1,-99,2,-99,1,2,-99,1,1,2,1,5,1,1,1,2,2,2
23/08/2014,12,2,2,2,1,1,1,2,3,2,1,0,-99,2,-99,2,2,-99,2,1,2,1,4,2,1,1,2,1,2
23/08/2014,13,2,1,2,1,2,1,2,3,2,1,0,-99,2,-99,2,2,-99,2,1,2,1,3,1,1,2,3,1,2
23/08/2014,14,2,1,2,0,2,2,2,3,2,1,0,-99,2,-99,1,3,-99,2,1,3,1,3,1,2,2,3,2,2
23/08/2014,15,2,2,2,0,4,3,2,3,2,1,0,-99,2,-99,1,4,-99,4,1,3,1,3,1,2,2,2,2,1
23/08/2014,16,2,1,2,1,3,2,2,2,2,1,0,-99,2,-99,1,4,-99,3,1,4,1,3,1,4,4,2,2,2
23/08/2014,17,2,1,1,1,4,2,2,2,3,2,0,-99,2,-99,1,5,-99,2,1,3,2,3,1,3,3,2,1,1
23/08/2014,18,2,1,1,1,2,1,2,2,1,1,0,-99,2,-99,1,2,-99,1,0,3,2,2,1,2,3,2,1,1
23/08/2014,19,2,0,1,0,1,0,2,2,1,1,1,-99,2,-99,1,2,-99,1,0,1,2,2,1,1,1,2,1,1
23/08/2014,20,2,0,1,0,1,0,2,2,1,1,0,-99,2,-99,1,2,-99,1,0,1,1,2,2,1,1,2,1,1
23/08/2014,21,2,0,1,0,1,0,2,2,1,0,0,-99,2,-99,1,1,-99,1,0,1,1,2,1,1,1,2,1,1
23/08/2014,22,1,0,1,0,1,0,2,2,1,-99,0,-99,2,-99,1,1,-99,1,0,1,1,2,1,1,1,2,1,1
23/08/2014,23,2,0,1,0,1,0,1,2,1,0,0,-99,2,-99,0,1,-99,1,0,1,1,2,1,0,1,1,1,1
23/08/2014,24,1,0,2,0,1,0,1,2,1,0,-99,-99,2,-99,0,1,-99,1,0,1,1,2,1,1,1,1,1,1
24/08/2014,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,-99
24/08/2014,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99
24/08/2014,3,1,1,1,0,0,0,2,2,1,0,1,-99,1,-99,1,1,-99,1,0,0,1,1,2,0,1,0,2,1
24/08/2014,4,1,1,1,0,0,0,2,2,1,0,0,-99,1,-99,0,1,-99,1,0,1,1,1,1,1,1,1,2,1
24/08/2014,5,0,0,1,0,1,0,1,2,1,1,0,-99,1,-99,0,1,-99,1,1,1,1,1,1,-99,1,1,2,1
24/08/2014,6,1,1,1,1,1,0,1,2,1,1,0,-99,2,-99,1,1,-99,1,2,0,1,2,1,1,1,1,2,2
24/08/2014,7,1,1,2,1,1,1,1,2,1,2,1,-99,3,-99,1,1,-99,1,2,1,1,2,1,1,1,1,2,3
24/08/2014,8,1,1,2,1,1,2,1,3,2,2,0,-99,2,-99,1,1,-99,1,1,1,1,3,2,2,1,2,2,2
24/08/2014,9,1,1,2,1,1,1,1,3,2,1,1,-99,2,-99,1,1,-99,1,1,0,1,3,1,1,1,1,2,2
24/08/2014,10,1,1,1,0,1,1,2,2,2,1,2,-99,2,-99,1,1,-99,1,1,1,1,3,2,1,1,1,2,2
24/08/2014,11,2,1,1,1,1,1,2,2,2,1,1,-99,2,-99,1,1,-99,1,1,1,1,3,1,1,1,1,2,1
24/08/2014,12,2,1,2,1,1,1,2,2,2,1,1,-99,2,-99,2,1,-99,1,1,2,1,4,4,1,2,2,2,2
24/08/2014,13,1,1,2,1,2,1,2,3,3,2,1,-99,3,-99,2,2,-99,2,2,2,-99,5,3,-99,2,3,2,2
24/08/2014,14,1,1,2,1,2,2,3,4,2,2,1,-99,3,-99,2,2,-99,2,1,3,3,3,2,2,3,2,1,2
24/08/2014,15,1,1,2,1,2,2,3,3,2,1,0,-99,2,-99,1,2,-99,2,1,2,3,2,1,2,2,1,1,1
24/08/2014,16,1,1,1,1,1,1,3,3,1,1,1,-99,2,-99,1,2,-99,2,1,2,2,2,2,2,1,1,2,1
24/08/2014,17,0,1,1,2,1,1,8,2,1,1,0,-99,2,-99,1,2,-99,2,1,1,1,2,1,2,1,1,2,1
24/08/2014,18,1,1,2,1,1,1,2,3,-99,1,0,-99,2,-99,2,1,-99,1,0,1,1,2,1,-99,1,1,1,1
24/08/2014,19,1,1,1,1,1,1,2,2,-99,1,0,-99,2,-99,1,1,-99,1,1,1,1,2,1,-99,1,1,1,1
24/08/2014,20,1,0,1,1,1,1,2,2,-99,1,0,-99,2,-99,1,1,-99,1,1,1,1,2,1,1,1,1,1,1
24/08/2014,21,1,0,1,1,1,0,2,2,-99,1,0,-99,2,-99,1,1,-99,1,1,1,1,3,1,1,1,1,1,1
24/08/2014,22,1,0,1,1,1,0,2,2,-99,1,0,-99,2,-99,1,1,-99,1,0,1,1,3,1,1,1,1,1,1
