FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,PLA,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
06/01/2008,5,4.9,2.0,-99,1.1,2.7,2.8,0.3,1.2,4.9,2.5,2.0,2.6,1.8,2.4,3.0,2.3,2.7,1.5
06/01/2008,6,4.1,1.8,-99,0.7,3.3,2.6,0.1,1.1,4.0,2.5,3.0,2.6,1.5,2.6,3.8,2.1,2.8,1.3
06/01/2008,7,4.0,1.5,-99,0.9,4.3,4.0,0.3,0.9,3.8,2.8,1.6,2.7,2.0,2.4,3.4,1.9,4.1,2.1
06/01/2008,8,4.2,2.1,-99,1.2,2.8,4.3,0.9,1.7,3.5,3.2,1.6,2.9,1.8,2.0,3.9,1.9,3.3,2.7
06/01/2008,9,3.9,3.0,-99,1.5,2.6,3.1,1.0,2.3,6.1,2.1,1.0,3.2,1.7,1.8,3.0,1.4,2.0,2.0
06/01/2008,10,3.2,3.2,-99,2.1,1.4,2.3,1.7,2.7,5.2,2.6,1.1,3.6,1.5,2.8,3.3,0.4,2.6,1.4
06/01/2008,11,3.0,2.6,-99,1.8,1.6,1.8,1.4,2.5,3.0,2.6,1.5,2.3,1.4,2.0,2.9,0.4,1.9,1.5
06/01/2008,12,2.2,2.2,-99,1.8,1.5,1.3,0.7,1.6,2.0,1.7,1.6,1.5,1.2,1.9,2.2,0.3,1.3,1.3
06/01/2008,13,1.5,1.8,-99,1.5,0.8,0.7,0.7,1.3,1.4,1.5,1.3,1.1,0.7,1.0,2.6,0.5,0.8,1.3
06/01/2008,14,1.2,1.6,-99,1.1,0.2,0.5,0.7,1.1,1.2,0.8,1.0,1.1,0.6,0.7,1.7,0.2,0.4,1.0
06/01/2008,15,0.9,1.4,-99,0.8,0.2,0.4,0.5,0.8,1.0,0.6,0.8,1.0,0.7,0.6,1.4,0.0,0.3,0.6
06/01/2008,16,1.0,1.3,-99,0.7,0.1,0.3,0.2,0.6,0.7,0.6,0.7,0.7,0.6,0.6,1.5,0.0,0.1,0.6
06/01/2008,17,0.9,1.2,-99,0.6,0.2,0.2,0.0,0.5,0.6,0.5,0.3,0.8,0.7,0.8,1.8,0.0,0.1,0.6
06/01/2008,18,1.4,1.4,-99,0.9,0.1,0.3,0.0,0.5,0.9,0.7,0.2,1.0,0.9,1.2,2.1,0.0,0.4,0.7
06/01/2008,19,1.5,1.2,-99,0.6,0.6,0.5,0.2,1.1,1.2,0.9,0.4,1.2,1.0,1.6,2.5,0.1,0.8,0.8
06/01/2008,20,3.1,1.4,-99,1.2,0.7,1.0,0.3,1.5,1.3,0.8,0.7,1.4,1.8,1.9,2.8,0.5,1.4,1.1
06/01/2008,21,2.7,1.6,-99,2.2,1.2,1.8,0.3,1.3,2.1,1.3,1.1,1.8,1.6,2.2,2.5,1.1,1.8,1.0
06/01/2008,22,3.8,2.2,-99,2.3,2.2,2.1,-99,1.8,2.2,2.4,1.9,2.0,2.1,2.4,3.8,2.3,2.6,1.4
06/01/2008,23,3.1,2.4,-99,2.7,2.9,2.2,1.8,1.9,2.1,2.3,2.4,1.9,2.2,1.4,3.2,2.2,3.0,1.8
06/01/2008,24,3.0,2.4,-99,0.4,4.9,2.2,0.4,0.8,1.7,2.6,1.4,2.4,2.1,1.9,3.8,2.0,1.5,0.9
07/01/2008,1,3.2,1.4,-99,-99,2.9,1.7,0.1,0.7,1.8,3.7,1.9,1.7,1.9,3.4,3.7,1.8,1.8,1.3
07/01/2008,2,2.9,1.2,-99,-99,2.0,1.8,0.1,0.8,1.2,3.3,0.7,1.8,1.4,2.8,1.9,0.5,1.0,1.5
07/01/2008,3,2.1,1.6,-99,-99,1.8,1.5,0.0,0.7,1.0,2.6,0.4,2.1,1.2,2.5,2.8,0.0,0.5,1.2
07/01/2008,4,1.5,1.3,-99,-99,1.8,1.0,0.0,0.3,0.9,2.1,0.3,1.9,0.9,2.1,2.3,0.0,0.2,1.1
