FECHA,HORA,CAM,COY,MER,NEZ,PED,PER,SAG,SJA,TLA,UIZ,XAL,,,,,,,,,,,,,
11/01/2011,7,28,40,45,-99,-99,30,-99,35,26,39,-99,,,,,,,,,,,,,
11/01/2011,8,46,45,59,-99,-99,53,-99,55,27,39,-99,,,,,,,,,,,,,
11/01/2011,9,31,46,66,-99,-99,77,-99,59,35,32,-99,,,,,,,,,,,,,
11/01/2011,10,34,53,90,-99,-99,56,-99,49,31,44,-99,,,,,,,,,,,,,
11/01/2011,11,33,59,49,-99,-99,64,-99,-99,28,61,-99,,,,,,,,,,,,,
11/01/2011,12,27,36,38,-99,-99,61,-99,-99,33,68,-99,,,,,,,,,,,,,
11/01/2011,13,24,31,34,-99,-99,33,-99,-99,31,34,-99,,,,,,,,,,,,,
11/01/2011,14,26,33,35,-99,-99,23,-99,-99,29,-99,-99,,,,,,,,,,,,,
11/01/2011,15,17,43,28,-99,-99,16,-99,-99,35,-99,-99,,,,,,,,,,,,,
11/01/2011,16,20,40,24,-99,-99,19,-99,-99,19,16,-99,,,,,,,,,,,,,
11/01/2011,17,27,29,24,-99,-99,30,-99,-99,37,23,-99,,,,,,,,,,,,,
11/01/2011,18,35,32,31,-99,-99,84,27,-99,45,53,-99,,,,,,,,,,,,,
11/01/2011,19,30,33,24,-99,-99,73,32,-99,33,50,-99,,,,,,,,,,,,,
11/01/2011,20,29,32,21,-99,-99,23,30,31,26,37,-99,,,,,,,,,,,,,
11/01/2011,21,19,29,21,-99,-99,29,11,23,16,27,-99,,,,,,,,,,,,,
11/01/2011,22,15,22,13,-99,-99,19,15,11,15,21,-99,,,,,,,,,,,,,
11/01/2011,23,7,16,9,-99,-99,18,6,5,2,13,-99,,,,,,,,,,,,,
11/01/2011,24,1,10,8,-99,-99,13,6,4,6,6,-99,,,,,,,,,,,,,
12/01/2011,1,2,7,6,-99,-99,3,4,1,6,2,-99,,,,,,,,,,,,,
12/01/2011,2,5,7,6,-99,-99,-99,7,7,8,4,-99,,,,,,,,,,,,,
12/01/2011,3,4,6,5,-99,-99,4,5,4,3,4,-99,,,,,,,,,,,,,
12/01/2011,4,11,4,13,-99,-99,-99,7,2,1,5,-99,,,,,,,,,,,,,
