FECHA,HORA,CAM,COY,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
08/01/2013,21,19,12,6,5,-99,-99,9,-99,13,-99,6,6,5,,,,,,,,,,,,,,
08/01/2013,22,9,16,10,9,12,-99,15,12,9,19,11,12,4,,,,,,,,,,,,,,
08/01/2013,23,3,26,11,8,11,-99,10,4,14,12,10,15,16,,,,,,,,,,,,,,
08/01/2013,24,3,28,6,8,10,-99,14,4,7,-99,7,11,6,,,,,,,,,,,,,,
09/01/2013,1,-99,16,5,8,7,-99,13,8,12,1,6,11,23,,,,,,,,,,,,,,
09/01/2013,2,16,-99,2,10,8,-99,10,3,6,-99,6,8,18,,,,,,,,,,,,,,
09/01/2013,3,9,-99,42,5,7,-99,8,-99,6,14,6,4,14,,,,,,,,,,,,,,
09/01/2013,4,8,-99,9,8,11,-99,9,-99,6,1,9,9,11,,,,,,,,,,,,,,
09/01/2013,5,-99,-99,-99,7,5,-99,8,-99,8,12,3,7,18,,,,,,,,,,,,,,
09/01/2013,6,9,4,-99,14,11,-99,10,-99,11,6,8,8,7,,,,,,,,,,,,,,
09/01/2013,7,11,8,10,8,6,-99,7,5,6,15,4,6,25,,,,,,,,,,,,,,
09/01/2013,8,11,1,16,7,9,-99,10,9,9,7,10,8,26,,,,,,,,,,,,,,
09/01/2013,9,6,7,1,7,3,-99,8,10,8,20,5,8,11,,,,,,,,,,,,,,
09/01/2013,10,-99,11,12,5,8,5,10,6,2,15,-99,6,13,,,,,,,,,,,,,,
09/01/2013,11,-99,6,5,3,9,13,4,7,5,2,-99,8,6,,,,,,,,,,,,,,
09/01/2013,12,-99,7,8,3,9,4,12,-99,1,12,2,7,7,,,,,,,,,,,,,,
09/01/2013,13,-99,10,4,12,5,2,19,-99,8,-99,8,9,3,,,,,,,,,,,,,,
09/01/2013,14,13,-99,4,5,-99,-99,8,-99,15,-99,2,6,10,,,,,,,,,,,,,,
09/01/2013,15,5,5,6,4,-99,2,6,-99,4,-99,5,8,7,,,,,,,,,,,,,,
09/01/2013,16,8,4,6,3,-99,1,6,-99,3,1,5,5,6,,,,,,,,,,,,,,
09/01/2013,17,9,1,1,4,-99,8,12,-99,14,7,10,7,8,,,,,,,,,,,,,,
09/01/2013,18,6,9,-99,5,12,9,15,-99,10,10,11,3,17,,,,,,,,,,,,,,
09/01/2013,19,4,8,7,4,15,1,15,5,13,25,5,10,16,,,,,,,,,,,,,,
09/01/2013,20,11,11,12,6,13,9,14,6,20,40,11,10,18,,,,,,,,,,,,,,
09/01/2013,21,-99,10,17,6,15,1,17,9,9,-99,10,8,21,,,,,,,,,,,,,,
09/01/2013,22,-99,10,7,5,22,12,19,1,14,-99,8,19,23,,,,,,,,,,,,,,
09/01/2013,23,-99,8,9,9,15,7,17,15,23,31,17,17,13,,,,,,,,,,,,,,
09/01/2013,24,4,6,3,17,12,2,18,4,23,56,15,13,29,,,,,,,,,,,,,,
10/01/2013,1,23,7,12,11,14,9,21,6,29,9,16,14,33,,,,,,,,,,,,,,
10/01/2013,2,14,3,26,20,15,9,22,4,25,1,18,18,27,,,,,,,,,,,,,,
10/01/2013,3,14,7,-99,16,15,6,32,4,30,8,28,22,46,,,,,,,,,,,,,,
10/01/2013,4,16,11,12,25,27,8,28,6,39,13,21,25,47,,,,,,,,,,,,,,
10/01/2013,5,10,12,10,36,20,1,27,6,33,7,19,28,41,,,,,,,,,,,,,,
10/01/2013,6,12,15,13,34,17,11,20,6,27,6,17,27,43,,,,,,,,,,,,,,
10/01/2013,7,27,21,16,30,34,8,24,7,30,8,8,28,43,,,,,,,,,,,,,,
10/01/2013,8,35,27,12,44,49,1,19,7,21,20,27,32,69,,,,,,,,,,,,,,
10/01/2013,9,46,31,-99,22,42,3,31,9,18,19,10,36,71,,,,,,,,,,,,,,
10/01/2013,10,39,26,-99,31,49,26,36,10,27,34,9,35,71,,,,,,,,,,,,,,
10/01/2013,11,59,30,-99,48,43,14,33,13,37,49,6,43,74,,,,,,,,,,,,,,
10/01/2013,12,63,57,81,51,36,10,27,49,27,60,18,54,41,,,,,,,,,,,,,,
10/01/2013,13,38,77,67,26,28,27,20,41,4,55,21,50,24,,,,,,,,,,,,,,
10/01/2013,14,19,57,-99,23,3,35,-99,41,-99,5,18,24,30,,,,,,,,,,,,,,
10/01/2013,15,19,29,2,18,5,19,-99,28,6,-99,11,12,20,,,,,,,,,,,,,,
10/01/2013,16,28,20,42,14,8,24,13,27,15,19,5,11,20,,,,,,,,,,,,,,
10/01/2013,17,25,14,57,-99,11,12,16,19,18,26,16,11,19,,,,,,,,,,,,,,
10/01/2013,18,20,8,18,13,13,12,18,13,21,26,16,13,24,,,,,,,,,,,,,,
10/01/2013,19,19,18,36,13,11,14,21,14,16,20,24,16,22,,,,,,,,,,,,,,
10/01/2013,20,17,21,23,16,19,15,23,11,19,42,22,16,32,,,,,,,,,,,,,,
10/01/2013,21,59,17,34,20,21,18,21,17,25,53,20,24,31,,,,,,,,,,,,,,
10/01/2013,22,55,25,28,25,19,27,35,22,25,9,24,24,30,,,,,,,,,,,,,,
10/01/2013,23,18,31,21,27,24,40,22,21,31,55,30,30,42,,,,,,,,,,,,,,
10/01/2013,24,27,27,23,25,26,17,22,22,21,21,30,43,46,,,,,,,,,,,,,,
11/01/2013,1,32,26,24,25,24,24,24,15,34,-99,25,35,24,,,,,,,,,,,,,,
11/01/2013,2,40,26,31,28,22,15,34,8,33,46,34,33,41,,,,,,,,,,,,,,
11/01/2013,3,24,21,33,27,26,13,30,14,32,34,25,32,55,,,,,,,,,,,,,,
11/01/2013,4,24,25,28,30,32,11,28,10,45,22,35,44,34,,,,,,,,,,,,,,
11/01/2013,5,30,27,32,39,38,20,26,14,28,18,30,47,48,,,,,,,,,,,,,,
11/01/2013,6,20,36,26,33,44,3,28,13,33,16,32,44,60,,,,,,,,,,,,,,
11/01/2013,7,36,37,39,36,56,24,29,12,34,29,33,40,46,,,,,,,,,,,,,,
11/01/2013,8,42,34,55,39,56,15,32,13,33,37,37,42,63,,,,,,,,,,,,,,
11/01/2013,9,50,38,32,44,56,43,37,18,30,45,33,38,54,,,,,,,,,,,,,,
11/01/2013,10,49,45,34,46,56,40,40,16,29,58,25,44,72,,,,,,,,,,,,,,
11/01/2013,11,52,45,-99,47,65,26,54,23,55,57,18,50,65,,,,,,,,,,,,,,
11/01/2013,12,36,40,-99,46,59,28,51,-99,45,67,25,49,51,,,,,,,,,,,,,,
11/01/2013,13,30,39,-99,33,44,30,30,27,22,37,21,48,45,,,,,,,,,,,,,,
11/01/2013,14,26,42,14,36,33,36,23,87,15,42,23,53,27,,,,,,,,,,,,,,
11/01/2013,15,37,36,15,37,13,36,26,54,18,3,17,33,11,,,,,,,,,,,,,,
11/01/2013,16,38,31,12,39,11,28,39,40,29,36,15,24,24,,,,,,,,,,,,,,
11/01/2013,17,40,30,46,30,14,24,40,36,28,50,18,19,46,,,,,,,,,,,,,,
11/01/2013,18,41,23,-99,18,14,19,31,21,27,48,20,16,46,,,,,,,,,,,,,,
11/01/2013,19,17,22,58,14,9,19,23,90,18,34,21,14,26,,,,,,,,,,,,,,
11/01/2013,20,22,21,16,18,21,15,20,36,15,12,25,20,28,,,,,,,,,,,,,,
11/01/2013,21,56,26,26,20,20,20,23,17,23,23,23,23,40,,,,,,,,,,,,,,
11/01/2013,22,65,29,26,25,33,28,28,15,27,9,27,28,33,,,,,,,,,,,,,,
11/01/2013,23,31,33,24,31,31,24,27,13,30,45,24,26,39,,,,,,,,,,,,,,
11/01/2013,24,33,34,20,28,29,20,20,32,28,8,30,31,34,,,,,,,,,,,,,,
12/01/2013,1,25,29,25,32,23,11,25,19,41,-99,28,27,34,,,,,,,,,,,,,,
12/01/2013,2,26,27,30,29,22,14,31,13,35,-99,34,28,46,,,,,,,,,,,,,,
12/01/2013,3,21,32,33,30,33,-99,42,16,30,22,28,31,41,,,,,,,,,,,,,,
12/01/2013,4,22,32,24,24,50,-99,40,20,35,28,28,32,49,,,,,,,,,,,,,,
