FECHA,HORA,CAM,COY,CCA,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
03/11/2014,18,39,-99,26,-99,-99,16,32,14,34,24,21,18,20,-99,,,,,,,,,,,,,,
03/11/2014,19,48,-99,27,-99,-99,10,38,22,39,22,44,22,12,-99,,,,,,,,,,,,,,
03/11/2014,20,37,-99,29,-99,-99,11,40,38,34,16,16,21,12,-99,,,,,,,,,,,,,,
03/11/2014,21,38,-99,30,-99,-99,12,34,17,33,18,20,29,24,-99,,,,,,,,,,,,,,
03/11/2014,22,28,-99,30,-99,-99,13,27,14,21,20,23,32,24,-99,,,,,,,,,,,,,,
03/11/2014,23,19,-99,26,-99,-99,21,19,13,20,19,26,24,24,-99,,,,,,,,,,,,,,
03/11/2014,24,24,-99,18,-99,-99,17,18,23,11,17,35,15,19,-99,,,,,,,,,,,,,,
04/11/2014,1,33,24,21,-99,-99,31,9,34,8,41,41,22,27,-99,,,,,,,,,,,,,,
04/11/2014,2,40,26,16,-99,-99,30,8,38,12,58,39,25,33,-99,,,,,,,,,,,,,,
04/11/2014,3,32,28,8,-99,-99,33,12,44,13,36,34,26,33,-99,,,,,,,,,,,,,,
04/11/2014,4,32,35,9,-99,-99,36,12,35,8,22,36,33,50,-99,,,,,,,,,,,,,,
04/11/2014,5,31,51,19,-99,-99,54,11,45,9,24,32,44,62,-99,,,,,,,,,,,,,,
04/11/2014,6,42,78,35,-99,-99,50,20,42,6,37,38,58,66,-99,,,,,,,,,,,,,,
04/11/2014,7,54,77,56,-99,-99,62,22,46,10,51,44,63,82,-99,,,,,,,,,,,,,,
04/11/2014,8,64,83,47,-99,-99,73,46,49,13,61,61,53,94,-99,,,,,,,,,,,,,,
04/11/2014,9,80,85,65,-99,-99,82,62,57,21,75,68,59,98,-99,,,,,,,,,,,,,,
04/11/2014,10,95,94,68,-99,-99,90,64,85,41,74,84,77,99,-99,,,,,,,,,,,,,,
04/11/2014,11,88,114,61,-99,-99,78,75,91,76,80,105,69,101,-99,,,,,,,,,,,,,,
04/11/2014,12,97,115,60,-99,-99,67,96,53,65,56,100,54,92,-99,,,,,,,,,,,,,,
04/11/2014,13,66,92,-99,-99,-99,59,86,46,54,42,79,50,98,-99,,,,,,,,,,,,,,
04/11/2014,14,67,37,-99,-99,-99,-99,64,46,63,40,53,-99,13,-99,,,,,,,,,,,,,,
04/11/2014,15,24,10,-99,-99,-99,-99,27,6,40,-99,38,-99,12,-99,,,,,,,,,,,,,,
04/11/2014,16,19,15,-99,-99,-99,-99,-99,6,-99,-99,22,-99,6,-99,,,,,,,,,,,,,,
04/11/2014,17,14,18,5,-99,-99,-99,14,9,-99,7,20,-99,2,-99,,,,,,,,,,,,,,
04/11/2014,18,10,12,7,-99,-99,8,11,24,-99,6,-99,4,-99,-99,,,,,,,,,,,,,,
04/11/2014,19,14,11,9,-99,-99,9,6,20,7,14,-99,18,-99,-99,,,,,,,,,,,,,,
04/11/2014,20,-99,4,9,-99,-99,21,5,19,3,23,13,17,4,-99,,,,,,,,,,,,,,
04/11/2014,21,9,13,12,-99,-99,14,12,21,4,29,15,30,17,-99,,,,,,,,,,,,,,
04/11/2014,22,25,10,12,-99,-99,13,10,19,5,13,29,22,20,-99,,,,,,,,,,,,,,
04/11/2014,23,25,7,23,-99,-99,6,12,16,8,17,17,16,17,-99,,,,,,,,,,,,,,
04/11/2014,24,25,13,23,-99,-99,6,14,13,9,20,14,13,10,-99,,,,,,,,,,,,,,
05/11/2014,1,26,17,13,-99,-99,6,12,27,1,3,5,8,3,-99,,,,,,,,,,,,,,
05/11/2014,2,14,23,15,-99,-99,15,4,16,6,14,23,11,7,-99,,,,,,,,,,,,,,
05/11/2014,3,14,17,13,-99,-99,10,5,10,4,4,20,8,12,-99,,,,,,,,,,,,,,
05/11/2014,4,19,17,11,-99,-99,7,6,11,3,14,28,10,10,-99,,,,,,,,,,,,,,
05/11/2014,5,25,9,12,-99,-99,10,7,9,7,16,22,11,28,-99,,,,,,,,,,,,,,
05/11/2014,6,25,9,8,-99,-99,10,5,12,3,7,19,24,34,-99,,,,,,,,,,,,,,
05/11/2014,7,31,15,12,-99,-99,12,9,28,7,16,30,19,33,-99,,,,,,,,,,,,,,
05/11/2014,8,35,25,12,-99,-99,9,14,43,13,13,23,9,26,-99,,,,,,,,,,,,,,
05/11/2014,9,38,16,10,-99,-99,9,35,37,-99,8,27,10,27,-99,,,,,,,,,,,,,,
05/11/2014,10,19,20,13,-99,-99,6,14,16,35,15,9,2,6,-99,,,,,,,,,,,,,,
05/11/2014,11,22,15,7,-99,-99,4,15,13,44,5,18,-99,-99,-99,,,,,,,,,,,,,,
05/11/2014,12,12,24,9,-99,-99,8,9,12,39,3,8,-99,15,-99,,,,,,,,,,,,,,
05/11/2014,13,-99,12,1,-99,-99,5,-99,9,60,-99,14,-99,7,-99,,,,,,,,,,,,,,
05/11/2014,14,-99,12,1,-99,-99,5,6,9,70,3,15,-99,-99,-99,,,,,,,,,,,,,,
05/11/2014,15,-99,16,7,-99,-99,12,4,9,47,8,4,4,14,-99,,,,,,,,,,,,,,
05/11/2014,16,20,12,5,-99,-99,11,2,11,27,6,8,8,6,-99,,,,,,,,,,,,,,
05/11/2014,17,17,21,7,-99,-99,11,5,12,22,12,11,13,11,-99,,,,,,,,,,,,,,
05/11/2014,18,21,20,12,-99,-99,16,12,16,13,23,15,16,-99,-99,,,,,,,,,,,,,,
05/11/2014,19,6,24,13,-99,-99,18,8,23,15,25,18,18,12,-99,,,,,,,,,,,,,,
05/11/2014,20,3,14,15,-99,-99,12,17,15,15,19,15,26,12,-99,,,,,,,,,,,,,,
05/11/2014,21,16,18,16,-99,-99,12,43,18,15,22,21,28,18,-99,,,,,,,,,,,,,,
05/11/2014,22,15,19,17,-99,-99,14,29,13,8,22,20,24,22,-99,,,,,,,,,,,,,,
05/11/2014,23,29,18,20,-99,-99,13,18,21,13,18,21,23,13,-99,,,,,,,,,,,,,,
05/11/2014,24,31,18,28,-99,-99,14,16,29,19,18,20,19,14,-99,,,,,,,,,,,,,,
06/11/2014,1,21,20,30,-99,-99,20,19,20,10,16,21,16,13,-99,,,,,,,,,,,,,,
06/11/2014,2,19,20,21,-99,-99,17,13,22,13,23,20,20,20,-99,,,,,,,,,,,,,,
06/11/2014,3,23,20,23,-99,-99,30,17,22,14,30,24,19,20,-99,,,,,,,,,,,,,,
06/11/2014,4,33,17,25,-99,-99,41,15,27,14,20,38,22,14,-99,,,,,,,,,,,,,,
06/11/2014,5,30,20,19,-99,-99,64,12,28,8,19,26,16,17,-99,,,,,,,,,,,,,,
06/11/2014,6,30,20,16,-99,-99,21,12,33,19,19,30,19,30,-99,,,,,,,,,,,,,,
