FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
15/08/2008,22,25,21,22,27,17,20,23,24,21
15/08/2008,23,23,27,11,22,27,25,16,20,23
15/08/2008,24,17,23,8,21,9,26,23,-99,25
16/08/2008,1,15,18,8,22,8,18,21,10,20
16/08/2008,2,15,24,-99,27,41,26,31,44,28
16/08/2008,3,24,27,8,37,27,22,22,32,19
16/08/2008,4,23,20,15,27,11,14,25,21,15
16/08/2008,5,23,21,16,29,26,17,15,28,14
16/08/2008,6,22,26,15,24,19,12,22,25,24
16/08/2008,7,24,25,18,26,30,18,11,27,23
16/08/2008,8,37,35,24,23,36,14,20,28,29
16/08/2008,9,31,37,28,26,13,17,19,22,21
16/08/2008,10,33,33,31,37,10,19,28,12,8
16/08/2008,11,43,34,37,47,34,20,21,37,23
16/08/2008,12,46,39,30,44,43,28,20,16,26
16/08/2008,13,48,32,28,37,18,30,33,31,13
16/08/2008,14,34,37,21,26,29,41,19,35,11
16/08/2008,15,23,41,18,20,20,26,1,26,12
16/08/2008,16,17,47,15,14,26,20,2,15,17
16/08/2008,17,11,34,7,8,6,8,2,7,19
16/08/2008,18,8,18,6,9,14,19,6,14,21
16/08/2008,19,7,11,9,13,16,15,12,22,-99
16/08/2008,20,10,15,9,10,7,11,20,9,20
16/08/2008,21,6,22,6,8,-99,7,8,-99,20
16/08/2008,22,8,20,-99,9,-99,8,18,-99,16
16/08/2008,23,8,16,-99,10,-99,10,12,-99,15
16/08/2008,24,9,8,-99,10,-99,11,15,6,20
17/08/2008,1,9,12,9,8,-99,13,18,21,10
17/08/2008,2,8,9,8,10,-99,9,9,20,16
17/08/2008,3,6,11,7,7,-99,7,8,8,17
17/08/2008,4,5,10,4,6,-99,5,4,13,25
17/08/2008,5,4,9,3,9,-99,7,10,4,19
17/08/2008,6,5,9,5,7,-99,7,9,7,13
17/08/2008,7,9,11,6,10,-99,6,6,17,22
17/08/2008,8,10,14,8,15,-99,5,-99,17,16
17/08/2008,9,12,19,7,12,-99,4,-99,1,5
17/08/2008,10,22,23,14,23,-99,6,-99,33,3
17/08/2008,11,30,33,20,26,-99,25,1,20,7
17/08/2008,12,33,32,16,25,-99,38,10,14,16
17/08/2008,13,32,29,21,27,-99,26,15,28,20
17/08/2008,14,34,29,29,31,-99,27,14,23,20
17/08/2008,15,41,38,33,43,-99,28,22,30,14
17/08/2008,16,39,39,39,16,-99,25,7,54,15
17/08/2008,17,20,32,23,14,-99,32,9,57,26
17/08/2008,18,25,36,16,14,-99,11,17,34,24
17/08/2008,19,24,31,25,31,-99,9,19,20,10
17/08/2008,20,25,23,28,30,22,16,21,24,18
17/08/2008,21,26,22,20,22,30,26,28,30,18
17/08/2008,22,25,18,14,16,34,13,36,15,17
17/08/2008,23,16,19,14,21,28,21,25,12,29
17/08/2008,24,17,19,-99,17,16,15,23,20,14
18/08/2008,1,18,14,-99,17,25,18,25,13,-99
18/08/2008,2,14,12,10,19,29,22,22,28,-99
18/08/2008,3,15,20,13,20,14,27,17,22,20
18/08/2008,4,19,22,15,25,25,29,21,20,25
18/08/2008,5,17,12,15,-99,18,31,23,26,29
18/08/2008,6,21,18,16,-99,27,33,26,23,33
18/08/2008,7,26,21,15,-99,23,37,32,28,26
18/08/2008,8,30,23,23,-99,21,32,33,32,-99
18/08/2008,9,29,32,28,47,34,24,23,44,-99
18/08/2008,10,28,38,22,42,23,34,23,47,-99
18/08/2008,11,40,43,33,40,10,13,10,59,12
18/08/2008,12,46,28,33,39,28,12,2,21,16
18/08/2008,13,43,26,44,45,-99,11,8,20,8
18/08/2008,14,41,22,46,49,-99,8,7,7,5
18/08/2008,15,33,18,40,41,-99,-99,12,-99,-99
18/08/2008,16,19,14,32,28,-99,11,6,-99,11
18/08/2008,17,14,17,25,27,-99,28,20,40,29
18/08/2008,18,24,-99,18,32,31,46,23,42,17
18/08/2008,19,30,-99,18,28,18,29,26,26,21
18/08/2008,20,27,-99,20,29,31,17,28,28,18
18/08/2008,21,30,-99,24,29,38,19,27,25,22
18/08/2008,22,30,-99,26,31,34,17,35,28,22
18/08/2008,23,28,36,24,34,29,26,32,41,21
18/08/2008,24,29,22,22,33,-99,35,31,9,24
19/08/2008,1,25,20,20,33,22,25,30,16,25
19/08/2008,2,24,24,21,35,41,27,36,21,28
19/08/2008,3,23,25,20,39,49,33,31,24,27
19/08/2008,4,23,16,22,28,41,36,36,25,27
19/08/2008,5,27,19,23,40,42,38,28,25,29
19/08/2008,6,32,23,26,44,24,43,19,23,35
19/08/2008,7,38,27,28,29,13,31,21,40,41
19/08/2008,8,32,31,27,33,11,29,27,26,41
19/08/2008,9,37,49,35,44,25,27,24,39,27
19/08/2008,10,50,64,44,57,32,31,25,44,13
19/08/2008,11,52,62,49,47,34,24,20,38,9
19/08/2008,12,56,60,44,48,35,18,6,62,22
19/08/2008,13,50,66,42,42,22,11,16,50,19
19/08/2008,14,37,66,43,22,23,11,6,42,19
19/08/2008,15,28,61,34,20,20,16,10,54,22
19/08/2008,16,38,58,28,37,-99,37,21,48,27
19/08/2008,17,44,37,27,45,-99,27,24,68,14
19/08/2008,18,50,48,33,38,-99,13,19,12,25
19/08/2008,19,42,51,30,44,25,22,16,31,24
19/08/2008,20,39,46,28,35,85,36,24,39,40
19/08/2008,21,51,40,30,47,51,43,37,43,71
19/08/2008,22,54,46,28,58,38,53,47,41,54
19/08/2008,23,51,40,23,53,36,51,33,38,54
19/08/2008,24,47,35,19,34,35,46,34,29,52
20/08/2008,1,36,31,18,35,65,32,23,26,48
20/08/2008,2,33,26,17,31,48,23,27,45,51
20/08/2008,3,23,24,19,24,34,26,28,35,33
20/08/2008,4,23,30,-99,31,26,23,28,21,28
20/08/2008,5,24,31,-99,36,46,26,24,16,25
20/08/2008,6,26,32,-99,27,28,27,26,21,24
20/08/2008,7,27,37,22,33,28,27,24,33,25
20/08/2008,8,32,38,23,37,43,24,22,52,31
