FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
04/01/2015,14,-99,-99,-99,28,11,20,-99,36,-99,28,27,28,18,16,33,12,-99,20,20,-99,,,,,,,
04/01/2015,15,-99,-99,-99,32,17,37,-99,9,-99,22,23,12,32,9,61,8,-99,24,32,-99,,,,,,,
04/01/2015,16,-99,-99,-99,21,16,24,-99,27,-99,22,22,9,35,18,23,13,-99,18,38,-99,,,,,,,
04/01/2015,17,-99,-99,-99,18,16,15,-99,3,-99,15,15,11,24,-99,12,14,-99,19,14,-99,,,,,,,
04/01/2015,18,-99,-99,-99,17,14,9,-99,15,-99,11,12,11,1,-99,8,15,-99,18,13,-99,,,,,,,
04/01/2015,19,-99,-99,-99,11,11,10,-99,6,-99,7,9,10,6,10,8,17,-99,11,3,-99,,,,,,,
04/01/2015,20,-99,-99,-99,13,13,9,-99,5,-99,7,5,8,19,8,10,11,-99,15,10,-99,,,,,,,
04/01/2015,21,-99,-99,-99,4,6,9,-99,10,-99,8,5,6,6,6,15,6,-99,9,17,-99,,,,,,,
04/01/2015,22,-99,-99,-99,5,6,8,-99,2,-99,6,7,3,4,4,5,10,-99,7,15,-99,,,,,,,
04/01/2015,23,-99,-99,-99,4,5,5,-99,5,-99,7,8,5,6,1,4,3,-99,4,3,-99,,,,,,,
04/01/2015,24,-99,-99,-99,10,4,5,-99,6,-99,4,4,5,4,-99,12,6,-99,-99,2,-99,,,,,,,
05/01/2015,1,-99,-99,-99,3,-99,4,-99,7,-99,4,7,-99,-99,-99,9,-99,-99,-99,7,-99,,,,,,,
05/01/2015,2,-99,-99,-99,9,4,4,-99,9,-99,5,4,4,13,-99,7,3,-99,-99,6,-99,,,,,,,
05/01/2015,3,-99,-99,-99,10,9,8,-99,9,-99,8,7,3,6,4,9,4,-99,8,15,-99,,,,,,,
05/01/2015,4,-99,-99,-99,9,8,6,-99,10,-99,13,7,5,10,11,6,10,-99,4,9,-99,,,,,,,
