FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,PED,SAG,SFE,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,
03/06/2015,18,28,50,27,-99,30,48,64,35,32,39,-99,49,25,32,66,43,62,-99,33,32,19,53,41,41,,,
03/06/2015,19,36,51,22,-99,61,52,64,73,37,36,-99,53,47,32,58,53,31,-99,57,23,41,56,41,92,,,
03/06/2015,20,30,51,18,-99,61,20,64,37,44,40,-99,51,48,47,51,39,55,-99,49,20,49,46,65,63,,,
03/06/2015,21,29,56,107,-99,28,29,50,71,47,65,-99,47,56,44,44,40,47,48,43,36,60,40,32,83,,,
03/06/2015,22,25,46,40,-99,53,23,49,43,31,46,-99,40,47,45,57,59,47,52,56,31,46,42,33,94,,,
03/06/2015,23,41,43,29,-99,53,27,20,46,35,60,-99,44,40,48,83,50,35,43,11,54,50,60,54,64,,,
03/06/2015,24,40,40,28,-99,43,26,29,32,29,47,-99,40,47,33,59,34,40,35,31,48,56,53,36,35,,,
04/06/2015,1,36,30,10,-99,40,21,26,25,19,47,-99,45,44,25,22,30,30,32,28,37,51,45,28,53,,,
04/06/2015,2,41,26,17,-99,40,15,28,26,20,47,-99,33,45,25,33,31,25,33,31,32,43,49,32,28,,,
04/06/2015,3,29,24,22,-99,44,17,25,32,23,56,-99,37,59,24,29,35,16,22,14,55,46,51,43,43,,,
04/06/2015,4,30,20,20,-99,45,22,23,54,24,55,-99,32,54,25,28,43,20,26,27,45,41,43,49,55,,,
04/06/2015,5,27,25,26,-99,54,45,24,56,26,49,-99,34,63,27,19,44,26,-99,30,49,50,32,60,77,,,
04/06/2015,6,35,31,16,-99,60,61,19,78,45,59,-99,33,61,31,24,74,50,35,42,54,43,49,49,87,,,
04/06/2015,7,42,32,43,-99,74,88,39,101,63,70,-99,52,90,33,38,73,64,44,51,65,68,72,92,117,,,
04/06/2015,8,48,31,44,-99,66,82,48,168,50,64,-99,53,83,43,41,85,48,58,65,64,71,57,126,141,,,
04/06/2015,9,45,39,55,-99,77,71,49,122,44,65,-99,55,82,57,41,95,47,63,56,93,80,70,96,106,,,
04/06/2015,10,32,39,19,-99,71,77,42,70,52,67,-99,54,88,51,65,66,51,73,52,85,72,80,84,142,,,
04/06/2015,11,47,52,3,-99,52,67,47,50,44,-99,-99,52,83,49,77,81,19,62,90,78,55,87,82,116,,,
04/06/2015,12,38,43,1,-99,49,84,31,51,12,-99,-99,43,75,44,60,66,52,1,21,63,32,33,12,119,,,
04/06/2015,13,33,47,35,-99,43,62,36,-99,50,-99,-99,23,83,39,44,24,15,4,1,67,19,47,45,47,,,
04/06/2015,14,22,25,13,-99,67,30,32,54,51,50,-99,16,76,46,44,40,39,5,30,53,31,13,45,36,,,
04/06/2015,15,22,39,14,-99,60,22,48,34,29,43,-99,26,72,64,36,71,79,75,89,38,14,54,38,50,,,
04/06/2015,16,23,43,32,-99,47,87,50,51,25,62,-99,29,44,45,44,61,76,46,14,29,26,44,53,27,,,
04/06/2015,17,38,35,36,-99,36,58,46,29,36,44,-99,41,41,39,46,27,36,31,45,49,52,29,41,31,,,
04/06/2015,18,42,38,52,-99,44,35,42,105,57,61,-99,50,69,41,43,64,60,64,29,55,54,48,96,85,,,
04/06/2015,19,43,40,118,-99,46,28,52,96,77,64,-99,43,53,49,37,60,42,52,73,47,87,49,62,80,,,
04/06/2015,20,31,43,47,-99,27,23,55,70,85,31,-99,49,22,38,45,36,45,58,63,36,38,39,36,44,,,
