FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
04/01/2019,7,29,18,39,44,51,32,31,-99,40,27,38,-99,42,46,-99,40,40,-99,44,53,29,7,35,33,-99,35,52,-99,16,44,-99,31,35,30,48
04/01/2019,8,29,20,39,41,47,34,34,-99,51,28,42,-99,31,45,-99,41,40,-99,53,53,28,8,37,35,-99,36,48,-99,24,45,-99,32,37,32,41
04/01/2019,9,25,29,46,50,60,35,28,-99,47,37,43,-99,-99,55,-99,51,48,-99,53,54,32,5,46,34,-99,41,39,-99,21,52,-99,39,50,42,62
04/01/2019,10,19,26,56,67,-99,46,28,-99,39,38,51,-99,-99,81,-99,65,63,-99,74,57,39,4,44,53,-99,61,33,-99,32,89,-99,46,62,47,80
04/01/2019,11,15,24,-99,76,-99,39,23,-99,44,28,74,-99,-99,81,-99,77,63,-99,75,40,20,5,40,60,-99,58,41,-99,34,74,-99,56,52,49,56
04/01/2019,12,11,32,-99,65,-99,48,7,-99,28,24,63,-99,-99,48,-99,30,43,-99,35,39,15,7,22,58,-99,39,39,-99,45,51,-99,39,28,32,41
04/01/2019,13,13,42,-99,42,-99,44,5,-99,37,17,41,-99,-99,35,-99,22,18,-99,24,47,10,10,13,45,-99,23,35,-99,28,32,-99,20,18,13,27
04/01/2019,14,10,29,-99,27,-99,28,7,-99,42,13,28,-99,-99,26,-99,19,22,-99,19,47,7,7,17,36,-99,22,40,-99,15,32,-99,14,15,10,32
04/01/2019,15,12,26,15,21,42,22,8,-99,41,11,29,-99,12,31,-99,18,20,-99,30,44,6,4,19,30,-99,16,39,-99,8,36,-99,13,18,12,24
04/01/2019,16,14,30,15,22,35,21,9,-99,41,12,29,-99,18,32,-99,19,22,-99,35,41,6,3,17,26,-99,18,39,-99,7,29,-99,12,18,13,32
04/01/2019,17,19,31,17,20,37,21,13,-99,40,-99,30,-99,25,40,-99,20,27,-99,47,38,8,2,16,28,-99,20,43,-99,7,25,-99,10,19,15,46
04/01/2019,18,25,33,26,31,53,39,13,-99,42,24,78,-99,28,46,-99,31,55,-99,40,53,12,3,18,47,-99,34,44,-99,12,44,-99,13,15,16,57
04/01/2019,19,23,37,41,36,70,39,24,-99,42,35,71,-99,31,44,-99,39,36,-99,43,59,18,3,25,45,-99,35,62,-99,32,59,-99,21,22,27,43
04/01/2019,20,13,33,35,47,56,48,31,-99,36,20,61,-99,39,52,-99,55,27,-99,51,52,20,4,29,73,-99,36,59,-99,47,51,-99,33,49,18,38
04/01/2019,21,19,38,34,59,51,58,30,-99,30,21,34,-99,26,51,-99,55,19,-99,49,57,17,5,40,66,-99,39,37,-99,52,44,-99,39,51,17,41
04/01/2019,22,22,29,28,55,53,64,35,-99,29,23,31,-99,36,47,-99,54,18,-99,54,48,46,21,48,55,-99,33,34,-99,33,43,-99,48,49,22,53
04/01/2019,23,21,26,36,55,57,55,23,-99,34,19,30,-99,53,56,-99,60,34,-99,61,33,44,30,50,44,-99,33,48,-99,42,58,-99,48,57,29,57
04/01/2019,24,24,24,42,36,58,45,17,-99,33,24,28,-99,41,42,-99,57,44,-99,61,26,37,23,51,37,-99,44,34,-99,46,52,-99,45,53,29,62
05/01/2019,1,27,19,19,33,57,40,31,-99,35,40,35,-99,51,54,-99,53,29,-99,55,33,39,11,51,30,-99,30,31,-99,42,53,-99,47,57,28,61
05/01/2019,2,26,12,26,36,54,29,27,-99,18,36,34,-99,52,43,-99,56,39,-99,54,22,38,8,46,20,-99,32,39,-99,38,56,-99,44,56,-99,57
05/01/2019,3,34,11,26,48,50,31,27,-99,40,34,23,-99,45,47,-99,53,44,-99,52,41,33,7,33,17,-99,42,24,-99,32,53,-99,38,50,44,51
05/01/2019,4,25,12,16,47,53,35,25,-99,28,30,25,-99,40,47,-99,41,45,-99,47,45,27,4,41,21,-99,46,25,-99,26,27,-99,34,47,36,48
05/01/2019,5,24,10,20,42,54,32,30,-99,32,28,23,-99,38,47,-99,44,44,-99,46,38,28,4,39,22,-99,40,32,-99,23,30,-99,32,43,33,47
05/01/2019,6,26,10,34,38,50,27,25,-99,49,25,27,-99,37,49,-99,40,41,-99,49,43,27,4,37,18,-99,38,35,-99,24,37,-99,30,37,36,44
05/01/2019,7,28,14,35,37,55,29,28,-99,50,24,35,-99,38,54,-99,-99,40,-99,59,47,25,4,34,25,-99,40,47,-99,24,43,-99,31,36,37,41
05/01/2019,8,28,19,37,37,50,32,26,-99,61,26,42,-99,38,57,-99,-99,37,-99,57,50,25,5,33,37,-99,37,50,-99,23,43,-99,28,38,35,46
05/01/2019,9,27,35,38,43,55,41,34,-99,65,42,42,-99,42,54,-99,45,43,-99,51,60,29,5,37,38,-99,37,31,-99,25,48,-99,29,47,36,53
05/01/2019,10,21,34,48,57,58,44,38,-99,48,53,62,-99,59,57,-99,58,56,-99,60,68,27,8,50,45,-99,38,29,-99,26,49,-99,35,59,32,73
05/01/2019,11,22,34,38,63,53,38,33,-99,29,64,76,-99,62,63,-99,69,51,-99,70,60,28,6,48,42,-99,39,23,-99,24,61,-99,35,72,31,88
