FECHA,HORA,ACO,ATI,CAM,CHO,COY,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
02/03/2014,7,24,33,43,-99,38,-99,11,29,32,37,39,36,-99,-99,27,-99,22,31,-99,39,38,20,34,41,6,26,36,31,-99
02/03/2014,8,23,36,42,-99,39,-99,23,26,38,36,35,37,-99,-99,27,-99,30,34,-99,41,37,-99,36,42,8,28,36,34,-99
02/03/2014,9,21,37,51,-99,45,-99,15,32,36,38,30,55,-99,-99,24,-99,-99,40,-99,61,40,17,37,54,24,31,31,39,-99
02/03/2014,10,20,35,68,-99,37,-99,9,32,43,36,41,61,-99,-99,12,-99,-99,58,-99,75,26,16,59,71,50,23,34,42,-99
02/03/2014,11,16,43,47,-99,37,-99,27,29,38,53,43,44,-99,-99,8,-99,20,54,-99,45,24,7,47,50,22,25,34,30,-99
02/03/2014,12,10,21,25,-99,29,-99,22,12,26,30,33,25,-99,-99,14,-99,19,20,-99,15,18,4,34,22,14,12,19,14,-99
02/03/2014,13,7,10,16,-99,21,-99,16,6,17,14,17,11,-99,-99,5,-99,14,12,-99,11,18,5,19,15,15,7,16,9,-99
02/03/2014,14,5,13,19,-99,14,-99,18,8,18,14,15,11,-99,-99,5,-99,12,11,-99,12,14,4,18,15,17,11,16,10,-99
02/03/2014,15,4,16,22,-99,15,-99,14,9,19,14,21,9,-99,-99,6,-99,13,12,-99,14,15,6,20,14,15,12,18,11,-99
02/03/2014,16,5,19,24,-99,14,-99,14,11,25,17,19,14,-99,-99,8,-99,10,17,-99,24,18,6,21,16,8,17,18,12,-99
02/03/2014,17,6,23,23,-99,18,-99,15,17,24,18,19,20,-99,-99,7,-99,16,20,-99,25,22,7,18,19,7,17,17,19,-99
02/03/2014,18,13,19,29,-99,25,-99,20,24,21,28,27,37,-99,-99,11,-99,14,29,-99,35,20,5,29,24,7,16,21,22,-99
02/03/2014,19,25,15,21,-99,28,-99,15,17,11,16,25,43,-99,-99,14,-99,16,29,-99,24,23,6,11,26,13,20,31,26,-99
02/03/2014,20,20,13,34,-99,30,-99,28,13,18,30,29,35,-99,-99,33,-99,19,35,-99,44,27,21,31,28,11,25,28,24,-99
02/03/2014,21,12,16,45,-99,42,-99,31,24,41,46,47,37,-99,-99,52,-99,29,39,-99,55,46,21,40,32,11,55,38,24,-99
02/03/2014,22,14,37,45,-99,58,-99,18,24,44,49,59,42,-99,-99,39,-99,41,36,-99,51,49,30,40,26,12,53,66,31,-99
02/03/2014,23,18,22,47,-99,60,-99,17,23,39,51,59,-99,-99,-99,42,-99,35,41,-99,51,48,30,43,49,22,51,61,38,-99
02/03/2014,24,23,13,46,-99,51,-99,23,45,31,50,60,54,-99,-99,34,-99,18,37,-99,48,43,43,-99,45,19,45,56,52,-99
03/03/2014,1,14,16,36,-99,41,-99,31,34,27,42,51,52,-99,-99,34,-99,13,43,-99,50,40,42,-99,48,12,38,49,44,-99
03/03/2014,2,28,16,26,-99,18,-99,31,24,18,38,39,49,-99,-99,27,-99,9,37,-99,38,37,44,-99,42,8,35,42,35,-99
03/03/2014,3,18,17,23,-99,20,-99,15,26,15,37,34,28,-99,-99,25,-99,9,23,-99,36,35,30,-99,45,7,33,38,28,-99
03/03/2014,4,19,15,29,-99,39,-99,17,30,23,37,38,29,-99,-99,30,-99,20,31,-99,38,34,17,-99,39,6,25,35,36,-99
03/03/2014,5,19,22,37,-99,35,-99,32,30,23,38,39,34,-99,-99,29,-99,30,33,-99,38,29,22,-99,33,8,25,32,36,-99
03/03/2014,6,21,37,42,-99,33,-99,38,33,29,39,40,36,-99,-99,26,-99,32,36,-99,36,32,28,37,39,9,33,40,32,-99
03/03/2014,7,26,38,46,-99,37,-99,53,32,33,41,41,37,-99,-99,31,-99,39,37,-99,41,34,29,39,46,12,32,40,34,-99
03/03/2014,8,28,41,50,-99,44,-99,50,32,41,46,48,39,-99,-99,33,-99,45,39,57,45,39,33,48,47,12,34,41,34,-99
03/03/2014,9,27,48,63,-99,59,-99,22,40,46,63,64,50,-99,-99,38,-99,59,43,52,47,52,32,63,57,41,39,53,48,-99
03/03/2014,10,22,57,62,-99,71,-99,19,47,64,100,75,44,-99,-99,29,-99,59,36,51,55,48,33,72,62,38,32,71,69,-99
03/03/2014,11,14,28,51,-99,61,-99,18,31,-99,99,77,36,-99,-99,22,-99,60,36,24,65,38,20,79,49,41,19,55,36,-99
03/03/2014,12,9,16,50,-99,64,-99,18,13,-99,59,74,19,-99,-99,16,-99,39,27,19,55,47,9,31,24,22,29,61,14,-99
03/03/2014,13,7,16,49,-99,39,-99,19,9,-99,31,29,16,-99,-99,9,-99,34,18,19,18,47,18,33,14,22,42,24,10,-99
03/03/2014,14,6,17,34,-99,24,-99,31,8,-99,18,20,11,-99,-99,9,-99,30,15,-99,14,25,-99,29,13,31,17,17,9,-99
03/03/2014,15,8,16,27,-99,28,-99,28,10,-99,20,23,16,-99,-99,10,-99,22,13,26,16,21,13,23,11,30,15,17,9,-99
03/03/2014,16,7,19,29,-99,40,-99,54,15,-99,29,29,10,-99,-99,10,-99,35,18,51,19,26,8,31,13,29,15,19,11,-99
03/03/2014,17,6,28,36,-99,48,-99,48,13,48,34,37,-99,-99,-99,9,-99,43,21,44,17,41,9,32,15,27,21,27,12,-99
