FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
06/01/2010,7,1.2,1.5,1.9,1.2,2.1,1.4,1.0,1.2,1.3,1.7,1.2,0.9,1.4,1.9,1.1,1.4,1.7
06/01/2010,8,1.9,2.0,2.5,1.8,2.2,2.4,1.2,1.8,2.2,2.4,1.5,1.3,2.1,2.6,1.8,1.8,2.3
06/01/2010,9,2.2,2.4,2.4,1.4,2.2,1.8,0.9,2.3,2.0,2.8,2.6,1.3,1.7,2.4,2.5,2.4,2.4
06/01/2010,10,2.5,2.4,2.1,1.8,2.4,2.1,1.0,2.6,2.3,2.2,2.5,1.3,1.9,2.0,1.6,2.3,1.4
06/01/2010,11,2.3,2.4,2.4,1.3,1.9,1.9,1.6,2.1,1.9,2.8,2.0,1.1,1.7,1.7,1.3,1.9,1.1
06/01/2010,12,1.6,1.8,1.7,1.2,1.6,1.4,1.4,1.7,1.6,2.4,1.3,0.7,1.1,1.5,1.5,1.6,1.4
06/01/2010,13,1.2,1.3,1.3,1.0,1.5,1.2,1.3,1.0,1.3,2.1,1.1,0.6,1.1,1.5,1.3,0.9,1.0
06/01/2010,14,1.0,1.1,1.4,0.8,1.3,1.1,1.1,0.8,1.1,1.5,0.8,0.5,1.0,0.9,0.8,0.8,1.1
06/01/2010,15,1.2,1.2,1.1,0.8,1.0,1.3,1.0,0.8,1.0,1.5,0.9,0.5,0.9,0.8,0.7,0.9,1.0
06/01/2010,16,1.4,0.9,1.0,0.8,1.3,1.5,1.0,0.9,0.7,2.1,0.8,0.4,0.8,1.0,0.6,1.1,0.9
06/01/2010,17,1.1,0.6,0.7,0.5,1.3,1.4,1.0,0.9,0.6,2.8,0.8,0.5,1.0,0.8,1.1,1.0,0.9
06/01/2010,18,0.9,0.8,0.7,0.8,1.3,1.7,0.8,0.9,0.7,2.9,1.0,0.6,1.1,0.8,1.0,0.9,0.9
06/01/2010,19,1.1,0.9,0.7,0.7,1.2,1.6,0.9,1.3,0.7,1.5,1.0,0.6,1.2,0.6,0.7,0.9,1.0
06/01/2010,20,1.5,0.8,1.1,0.9,0.9,2.1,1.2,1.7,0.7,1.4,1.1,0.7,1.2,0.7,1.5,1.8,1.0
06/01/2010,21,0.9,0.8,1.1,0.9,1.2,1.8,0.9,2.1,0.8,1.5,1.1,0.8,2.2,1.0,1.7,1.9,1.2
06/01/2010,22,2.4,1.0,1.5,1.3,1.3,2.4,1.0,2.1,0.8,1.7,1.2,0.8,1.6,1.2,1.5,2.1,1.5
06/01/2010,23,1.6,1.1,2.5,1.5,1.6,1.4,0.7,2.6,1.3,2.4,1.4,1.3,2.1,1.7,1.5,2.7,1.3
06/01/2010,24,1.3,1.4,2.0,1.4,1.5,1.3,0.6,2.9,1.4,3.5,2.0,1.1,2.2,2.0,1.8,1.8,1.6
07/01/2010,1,1.4,0.9,1.3,1.0,0.9,1.5,0.7,1.5,1.2,2.5,1.6,1.1,1.4,0.9,0.8,1.4,1.7
07/01/2010,2,1.1,0.8,0.9,0.6,0.8,1.3,0.5,1.2,1.1,1.8,1.5,1.3,1.3,0.9,0.8,1.4,1.0
07/01/2010,3,0.7,0.7,0.7,0.3,0.9,1.1,0.4,1.5,0.8,1.3,1.0,1.0,0.9,0.8,0.7,1.3,0.8
07/01/2010,4,0.9,0.6,0.7,0.3,0.9,1.2,0.5,1.3,0.9,0.9,1.2,0.8,0.8,0.6,0.6,1.0,0.9
07/01/2010,5,1.1,0.6,0.7,0.4,1.2,1.1,0.5,1.5,1.0,1.2,1.1,0.8,0.8,1.0,0.7,1.0,1.1
07/01/2010,6,0.9,1.0,1.1,0.8,2.0,1.3,0.6,1.6,1.2,1.4,1.4,1.0,1.1,1.3,0.8,1.7,1.1
07/01/2010,7,1.7,1.7,1.9,1.7,2.0,2.1,0.8,2.0,1.7,1.8,2.0,1.3,2.1,2.3,1.0,2.0,1.9
07/01/2010,8,2.9,3.3,3.2,2.8,3.2,2.7,1.2,2.8,3.1,2.5,2.0,2.2,2.6,4.0,1.5,2.7,2.2
07/01/2010,9,2.1,3.5,3.6,2.8,2.5,2.2,2.3,3.0,2.9,2.0,3.2,1.8,1.9,3.9,1.4,3.3,1.9
07/01/2010,10,-99,2.6,2.7,2.8,2.1,2.7,1.5,2.0,2.1,1.6,3.2,1.2,1.7,3.4,1.4,2.2,1.8
07/01/2010,11,-99,-99,2.6,2.4,1.7,-99,0.8,1.2,1.9,1.5,2.0,1.0,1.9,2.4,1.3,1.3,1.6
07/01/2010,12,-99,1.7,2.2,2.0,1.9,1.8,0.7,1.1,1.2,1.3,1.4,0.8,1.5,2.1,0.4,1.2,1.1
07/01/2010,13,-99,1.2,2.4,1.2,1.3,1.7,0.8,1.3,1.2,2.0,1.1,0.7,0.9,-99,0.6,1.5,0.9
