FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
24/06/2009,1,14,13,17,16,28,15,12,-99,13
24/06/2009,2,15,13,16,18,3,16,13,55,16
24/06/2009,3,15,14,12,10,17,29,12,8,11
24/06/2009,4,20,27,13,18,17,15,16,68,16
24/06/2009,5,16,20,12,13,29,11,14,26,16
24/06/2009,6,23,19,13,12,8,14,31,34,16
24/06/2009,7,25,25,13,19,48,17,23,25,19
24/06/2009,8,30,24,14,16,40,18,34,25,17
24/06/2009,9,24,22,23,20,14,25,29,5,16
24/06/2009,10,34,27,31,38,-99,35,33,40,24
24/06/2009,11,44,35,39,35,-99,36,45,45,22
24/06/2009,12,27,38,53,24,-99,27,25,34,10
24/06/2009,13,17,47,48,12,-99,16,13,13,9
24/06/2009,14,16,40,28,2,-99,22,13,-99,13
24/06/2009,15,16,29,23,15,19,-99,15,29,14
24/06/2009,16,16,29,34,9,33,-99,11,22,20
24/06/2009,17,27,24,25,29,29,-99,36,26,21
24/06/2009,18,20,21,19,20,24,-99,22,30,12
24/06/2009,19,20,24,18,11,21,8,31,16,19
24/06/2009,20,16,25,17,16,42,16,31,25,-99
24/06/2009,21,18,26,19,21,16,16,25,16,19
24/06/2009,22,18,26,16,22,8,19,18,33,21
24/06/2009,23,19,16,18,25,23,10,23,17,21
24/06/2009,24,14,11,16,22,-99,17,23,-99,23
25/06/2009,1,11,10,12,13,-99,17,12,27,13
25/06/2009,2,9,13,11,10,22,5,11,17,7
25/06/2009,3,12,14,11,13,4,12,7,11,9
25/06/2009,4,13,14,11,9,19,6,12,20,5
25/06/2009,5,11,14,10,13,-99,11,15,22,4
25/06/2009,6,10,17,4,19,30,6,18,8,8
25/06/2009,7,14,20,8,19,13,6,29,22,8
25/06/2009,8,20,-99,14,15,4,12,20,20,8
25/06/2009,9,23,23,19,9,29,16,8,26,7
25/06/2009,10,33,35,25,19,5,14,10,30,11
25/06/2009,11,36,39,29,10,29,18,15,38,16
25/06/2009,12,32,46,29,24,6,14,18,49,16
25/06/2009,13,37,27,36,19,48,23,16,-99,17
25/06/2009,14,38,23,-99,11,17,12,14,36,11
25/06/2009,15,20,20,50,8,23,13,21,1,11
25/06/2009,16,9,12,24,11,27,10,21,40,12
25/06/2009,17,10,22,14,17,4,30,22,24,10
25/06/2009,18,8,18,14,13,-99,11,16,-99,5
25/06/2009,19,8,19,15,18,-99,8,17,11,14
25/06/2009,20,11,15,13,15,-99,17,21,37,13
25/06/2009,21,10,14,14,10,45,18,20,13,10
25/06/2009,22,11,12,11,21,21,17,25,-99,15
25/06/2009,23,8,9,10,10,16,12,16,29,16
