FECHA,HORA,ACO,CAM,FAC,IZT,MER,PED,SAG,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,,,,,,
28/04/2011,16,-99,-99,128,77,124,104,125,88,68,-99,94,-99,252,115,,,,,,,,
28/04/2011,17,-99,-99,216,99,107,91,145,96,-99,-99,96,-99,261,-99,,,,,,,,
28/04/2011,18,-99,-99,150,122,132,129,173,139,-99,-99,131,-99,209,202,,,,,,,,
28/04/2011,19,-99,-99,162,133,144,139,163,161,-99,-99,150,-99,202,234,,,,,,,,
28/04/2011,20,-99,-99,165,146,166,131,165,147,159,-99,152,-99,142,208,,,,,,,,
28/04/2011,21,-99,-99,148,136,220,127,152,127,139,-99,115,-99,133,145,,,,,,,,
28/04/2011,22,-99,-99,114,117,106,113,136,113,120,-99,115,-99,122,121,,,,,,,,
28/04/2011,23,-99,-99,93,102,100,102,115,102,91,-99,91,-99,100,96,,,,,,,,
28/04/2011,24,-99,-99,78,96,87,90,94,94,97,-99,80,-99,102,83,,,,,,,,
29/04/2011,1,-99,-99,73,81,84,87,96,90,88,-99,79,-99,83,66,,,,,,,,
29/04/2011,2,-99,-99,64,83,79,80,80,85,71,-99,75,-99,76,68,,,,,,,,
29/04/2011,3,-99,-99,63,77,79,70,92,69,80,-99,77,-99,70,67,,,,,,,,
29/04/2011,4,-99,-99,61,78,81,60,105,62,81,-99,71,-99,95,74,,,,,,,,
29/04/2011,5,-99,-99,61,81,85,71,109,58,70,-99,81,-99,107,121,,,,,,,,
29/04/2011,6,-99,-99,72,89,115,65,133,69,87,-99,90,-99,129,158,,,,,,,,
29/04/2011,7,-99,-99,117,89,103,81,139,106,97,-99,107,-99,145,173,,,,,,,,
29/04/2011,8,-99,-99,119,91,115,76,117,102,118,-99,142,-99,173,181,,,,,,,,
29/04/2011,9,-99,-99,113,106,115,107,132,107,96,-99,137,-99,167,186,,,,,,,,
29/04/2011,10,-99,-99,144,127,115,-99,124,98,84,139,113,-99,121,158,,,,,,,,
29/04/2011,11,-99,-99,100,137,134,-99,122,106,63,169,130,-99,108,167,,,,,,,,
29/04/2011,12,-99,-99,81,123,117,-99,106,74,34,110,127,-99,109,143,,,,,,,,
29/04/2011,13,-99,-99,48,86,88,-99,91,-99,14,82,33,-99,94,75,,,,,,,,
29/04/2011,14,-99,-99,78,61,57,61,65,35,-99,67,16,-99,10,67,,,,,,,,
29/04/2011,15,-99,-99,59,52,65,57,58,52,92,75,17,-99,35,73,,,,,,,,
29/04/2011,16,-99,-99,60,43,63,78,66,67,131,70,27,-99,63,69,,,,,,,,
29/04/2011,17,-99,-99,70,43,75,74,74,77,102,72,36,-99,42,66,,,,,,,,
29/04/2011,18,-99,-99,105,69,84,97,81,165,126,71,45,-99,64,68,,,,,,,,
29/04/2011,19,-99,-99,122,125,114,115,122,91,102,139,119,-99,168,131,,,,,,,,
