FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
12/01/2010,3,54,38,40,55,106,39,20,-99,25
12/01/2010,4,53,43,38,47,63,31,27,-99,26
12/01/2010,5,52,73,35,40,48,29,17,-99,20
12/01/2010,6,53,44,35,30,30,38,27,-99,18
12/01/2010,7,39,43,36,26,18,56,35,-99,24
12/01/2010,8,44,76,38,30,25,62,36,-99,34
12/01/2010,9,53,90,40,40,41,69,30,-99,40
12/01/2010,10,74,94,50,47,68,89,47,-99,42
12/01/2010,11,100,89,61,42,73,82,42,-99,48
12/01/2010,12,101,54,69,58,85,76,60,-99,30
12/01/2010,13,74,44,53,52,77,67,69,-99,40
12/01/2010,14,62,46,35,48,64,48,70,-99,36
12/01/2010,15,56,62,43,39,31,34,65,-99,25
12/01/2010,16,45,57,55,35,17,29,43,-99,26
12/01/2010,17,35,40,46,35,27,32,42,-99,25
12/01/2010,18,29,35,48,42,29,38,45,-99,-99
12/01/2010,19,34,36,51,43,39,31,38,-99,-99
12/01/2010,20,34,23,41,38,24,-99,37,-99,1
12/01/2010,21,29,24,32,22,20,23,20,-99,6
12/01/2010,22,30,29,30,26,19,16,7,-99,8
12/01/2010,23,25,26,31,24,12,20,14,-99,13
12/01/2010,24,28,30,28,22,11,17,18,-99,10
13/01/2010,1,26,37,27,35,17,23,16,-99,11
13/01/2010,2,28,33,26,18,21,22,11,-99,8
13/01/2010,3,35,29,19,11,22,12,15,-99,8
13/01/2010,4,32,33,12,17,17,12,12,-99,9
13/01/2010,5,24,39,15,13,17,15,15,-99,14
13/01/2010,6,-99,40,16,15,16,16,10,-99,12
13/01/2010,7,-99,25,19,16,19,14,11,-99,15
13/01/2010,8,-99,27,20,20,22,18,21,-99,23
13/01/2010,9,-99,31,24,25,31,27,22,-99,24
13/01/2010,10,30,32,31,17,26,34,27,-99,25
13/01/2010,11,38,37,-99,28,34,41,20,-99,11
13/01/2010,12,62,54,-99,39,67,50,36,-99,19
13/01/2010,13,56,60,-99,46,44,57,47,-99,25
13/01/2010,14,51,66,69,39,35,45,37,-99,24
13/01/2010,15,47,66,63,36,37,36,27,-99,22
13/01/2010,16,49,58,50,20,41,46,23,-99,29
13/01/2010,17,34,49,33,18,27,40,19,-99,36
13/01/2010,18,22,47,26,26,21,26,19,-99,27
13/01/2010,19,25,51,-99,26,29,48,51,-99,24
13/01/2010,20,30,52,-99,36,36,39,50,-99,30
13/01/2010,21,38,51,46,35,35,34,32,-99,34
13/01/2010,22,40,60,35,30,45,37,19,-99,33
13/01/2010,23,44,58,34,26,30,34,32,-99,29
13/01/2010,24,39,43,36,19,36,33,32,-99,20
14/01/2010,1,35,44,34,32,38,31,31,-99,21
14/01/2010,2,40,43,31,24,52,25,23,-99,24
14/01/2010,3,26,49,26,21,47,31,13,-99,24
14/01/2010,4,25,50,18,34,41,29,16,-99,20
14/01/2010,5,33,54,18,36,39,34,19,-99,22
14/01/2010,6,42,49,21,31,39,36,27,-99,20
14/01/2010,7,48,47,24,38,44,34,36,-99,19
14/01/2010,8,58,53,28,43,49,48,34,-99,22
14/01/2010,9,63,52,36,39,57,53,22,-99,11
14/01/2010,10,39,41,24,11,61,38,11,-99,22
14/01/2010,11,24,9,25,-99,22,19,5,-99,18
14/01/2010,12,-99,3,10,-99,-99,-99,1,-99,-99
14/01/2010,13,-99,2,3,3,-99,-99,8,-99,-99
14/01/2010,14,-99,5,2,7,-99,14,9,-99,-99
14/01/2010,15,-99,5,-99,5,-99,15,13,-99,5
14/01/2010,16,-99,1,1,9,5,6,8,-99,16
14/01/2010,17,-99,5,2,11,5,13,13,-99,13
14/01/2010,18,-99,8,4,16,9,9,13,-99,10
14/01/2010,19,-99,6,6,13,13,-99,18,-99,13
14/01/2010,20,-99,6,5,4,7,12,14,-99,12
14/01/2010,21,-99,8,4,5,8,9,12,-99,5
14/01/2010,22,-99,6,3,5,8,9,13,-99,9
14/01/2010,23,-99,6,4,6,10,9,20,-99,6
14/01/2010,24,-99,5,2,4,2,17,5,-99,12
15/01/2010,1,-99,2,2,8,1,10,5,-99,7
15/01/2010,2,-99,2,-99,3,6,5,5,-99,3
15/01/2010,3,-99,3,-99,3,4,4,5,-99,10
15/01/2010,4,-99,4,-99,3,6,4,-99,-99,5
15/01/2010,5,-99,6,-99,4,5,3,-99,-99,3
15/01/2010,6,-99,6,-99,4,4,4,7,-99,6
15/01/2010,7,-99,7,-99,7,7,5,4,-99,6
15/01/2010,8,-99,8,-99,10,11,8,16,-99,-99
15/01/2010,9,-99,9,-99,1,10,4,9,-99,-99
15/01/2010,10,-99,9,-99,1,6,9,12,-99,-99
15/01/2010,11,-99,7,-99,4,-99,3,11,-99,-99
15/01/2010,12,-99,6,-99,3,-99,7,9,-99,-99
15/01/2010,13,-99,6,-99,4,-99,7,3,-99,-99
15/01/2010,14,-99,5,-99,3,2,-99,14,-99,7
15/01/2010,15,-99,4,-99,5,3,2,14,-99,-99
15/01/2010,16,-99,7,-99,6,8,11,7,-99,-99
15/01/2010,17,-99,7,-99,9,9,10,6,-99,10
15/01/2010,18,-99,8,-99,19,11,9,9,-99,12
15/01/2010,19,-99,8,-99,5,7,20,14,-99,8
15/01/2010,20,-99,7,-99,7,11,11,10,-99,9
15/01/2010,21,-99,6,-99,9,12,8,-99,-99,9
15/01/2010,22,-99,5,-99,7,8,6,-99,-99,6
15/01/2010,23,-99,5,-99,3,8,9,2,-99,7
15/01/2010,24,-99,6,-99,4,7,4,11,-99,-99
16/01/2010,1,-99,4,-99,11,4,2,10,-99,1
16/01/2010,2,-99,4,-99,8,6,4,8,-99,7
16/01/2010,3,-99,3,-99,-99,10,6,-99,-99,3
16/01/2010,4,-99,3,-99,3,3,3,-99,-99,8
16/01/2010,5,-99,7,-99,6,5,10,1,-99,-99
16/01/2010,6,-99,8,-99,6,8,21,9,-99,10
16/01/2010,7,-99,22,-99,26,19,24,8,-99,19
16/01/2010,8,-99,23,-99,26,24,19,20,-99,14
16/01/2010,9,-99,33,9,23,20,21,21,-99,12
16/01/2010,10,-99,31,21,13,15,16,9,-99,13
16/01/2010,11,-99,36,24,10,10,15,10,-99,6
16/01/2010,12,-99,37,30,-99,13,9,18,-99,4
16/01/2010,13,-99,21,21,7,-99,11,14,-99,7
16/01/2010,14,12,17,20,1,2,9,14,-99,9
16/01/2010,15,9,17,10,3,8,20,7,-99,11
16/01/2010,16,8,3,-99,10,3,8,15,-99,13
16/01/2010,17,8,4,-99,22,18,14,14,-99,16
16/01/2010,18,14,4,-99,7,12,10,20,-99,-99
16/01/2010,19,15,6,3,13,21,19,11,-99,-99
16/01/2010,20,17,7,4,16,15,12,7,-99,9
16/01/2010,21,23,7,5,19,14,13,11,-99,8
16/01/2010,22,15,7,7,21,16,24,10,-99,12
16/01/2010,23,8,5,12,9,17,46,7,-99,20
16/01/2010,24,8,4,9,7,12,16,7,-99,18
17/01/2010,1,8,3,12,13,14,5,6,-99,23
17/01/2010,2,8,8,11,7,6,8,2,-99,23
17/01/2010,3,9,20,10,5,3,13,-99,-99,19
17/01/2010,4,8,21,11,10,8,12,6,-99,16
17/01/2010,5,8,24,10,11,16,13,1,-99,14
17/01/2010,6,15,18,11,19,15,13,5,-99,11
17/01/2010,7,18,32,11,20,17,12,6,-99,12
17/01/2010,8,20,26,12,19,16,10,6,-99,9
17/01/2010,9,19,24,14,11,-99,-99,11,-99,7
17/01/2010,10,17,26,21,17,24,5,2,-99,11
17/01/2010,11,15,12,18,-99,9,9,-99,-99,10
17/01/2010,12,13,3,5,-99,-99,4,3,-99,-99
17/01/2010,13,6,-99,4,-99,-99,2,3,-99,-99
17/01/2010,14,-99,-99,2,-99,-99,1,8,-99,-99
17/01/2010,15,-99,4,-99,-99,-99,8,4,-99,3
17/01/2010,16,4,8,3,6,11,9,6,-99,8
17/01/2010,17,14,8,5,17,10,9,7,-99,11
17/01/2010,18,12,5,5,11,11,8,1,-99,10
17/01/2010,19,15,8,3,18,12,17,4,-99,12
17/01/2010,20,14,8,2,12,11,13,18,-99,11
17/01/2010,21,14,6,1,10,8,15,18,-99,10
17/01/2010,22,11,5,-99,9,12,17,12,-99,12
17/01/2010,23,15,4,4,5,11,9,13,-99,12
17/01/2010,24,6,14,6,4,9,11,17,-99,14
18/01/2010,1,3,12,3,7,10,8,7,-99,5
18/01/2010,2,10,9,4,3,12,11,14,-99,13
18/01/2010,3,3,12,5,3,5,7,4,-99,11
18/01/2010,4,5,13,5,4,2,8,6,-99,11
18/01/2010,5,4,13,6,8,7,8,5,-99,13
18/01/2010,6,6,10,6,10,7,11,3,-99,13
18/01/2010,7,12,17,6,10,16,14,10,-99,20
18/01/2010,8,22,16,12,18,18,25,11,-99,16
18/01/2010,9,28,16,18,5,10,21,18,-99,15
18/01/2010,10,14,16,19,6,20,6,20,-99,18
18/01/2010,11,7,9,11,6,4,8,20,-99,3
18/01/2010,12,-99,11,-99,-99,-99,3,19,-99,-99
18/01/2010,13,-99,7,-99,-99,-99,-99,12,-99,-99
18/01/2010,14,1,6,-99,-99,-99,-99,17,-99,-99
18/01/2010,15,1,6,-99,-99,6,-99,14,-99,8
18/01/2010,16,4,13,-99,12,15,-99,31,-99,10
18/01/2010,17,7,15,4,13,10,-99,27,-99,12
18/01/2010,18,7,22,7,21,18,-99,33,-99,22
18/01/2010,19,10,19,7,16,15,-99,35,-99,18
18/01/2010,20,6,22,7,14,16,-99,27,-99,12
18/01/2010,21,14,24,9,18,24,-99,33,-99,17
18/01/2010,22,21,29,11,18,22,-99,20,-99,12
18/01/2010,23,22,24,15,18,22,-99,20,-99,16
18/01/2010,24,21,16,13,15,22,-99,7,-99,20
19/01/2010,1,14,15,13,11,20,-99,23,-99,23
19/01/2010,2,13,12,14,17,23,-99,11,-99,18
19/01/2010,3,13,10,12,21,22,-99,23,-99,-99
19/01/2010,4,10,14,10,14,19,-99,12,-99,-99
19/01/2010,5,13,15,10,20,24,-99,19,-99,-99
19/01/2010,6,16,16,11,22,32,-99,24,-99,-99
19/01/2010,7,28,17,10,27,40,-99,24,-99,-99
19/01/2010,8,30,23,12,27,36,-99,22,-99,-99
19/01/2010,9,32,33,19,19,31,-99,38,-99,-99
19/01/2010,10,35,37,25,12,31,-99,60,-99,-99
19/01/2010,11,40,47,30,13,25,-99,59,-99,-99
19/01/2010,12,52,43,-99,16,19,-99,49,-99,18
19/01/2010,13,33,31,-99,10,17,23,10,-99,16
19/01/2010,14,9,33,-99,-99,-99,19,2,-99,6
19/01/2010,15,13,25,-99,-99,-99,11,10,-99,13
19/01/2010,16,11,-99,-99,6,11,8,18,-99,14
19/01/2010,17,13,-99,9,11,10,14,18,-99,12
19/01/2010,18,9,12,7,19,15,18,14,-99,15
19/01/2010,19,10,9,4,23,21,24,12,-99,17
19/01/2010,20,18,10,8,31,22,26,19,-99,17
19/01/2010,21,20,11,9,21,17,-99,17,-99,18
19/01/2010,22,17,10,10,28,28,27,23,-99,18
19/01/2010,23,12,11,10,17,19,28,32,-99,19
19/01/2010,24,19,9,11,24,13,38,20,-99,25
20/01/2010,1,5,13,9,20,17,30,24,-99,18
20/01/2010,2,14,17,3,34,20,17,16,-99,19
20/01/2010,3,16,12,2,23,23,17,21,-99,20
20/01/2010,4,3,10,2,12,22,16,14,-99,25
20/01/2010,5,8,9,2,17,19,21,12,-99,21
20/01/2010,6,5,10,1,21,21,21,10,-99,36
20/01/2010,7,11,15,3,20,17,30,23,-99,41
20/01/2010,8,19,20,9,27,30,35,33,-99,39
20/01/2010,9,25,33,14,23,30,40,38,-99,23
20/01/2010,10,29,58,12,18,28,31,44,-99,35
20/01/2010,11,24,55,15,20,-99,26,23,-99,23
20/01/2010,12,17,42,14,5,23,22,1,-99,17
20/01/2010,13,10,13,11,-99,7,15,5,-99,15
20/01/2010,14,4,11,5,-99,4,11,1,-99,10
20/01/2010,15,5,8,4,2,2,6,10,-99,12
20/01/2010,16,7,14,4,4,4,11,20,-99,12
20/01/2010,17,15,6,3,15,8,11,15,-99,18
20/01/2010,18,18,6,4,14,18,19,56,-99,19
20/01/2010,19,12,9,7,21,19,26,47,-99,25
20/01/2010,20,21,9,9,19,17,27,43,-99,-99
20/01/2010,21,20,13,9,17,15,22,45,-99,18
20/01/2010,22,20,11,11,16,17,26,26,-99,21
20/01/2010,23,20,11,9,16,20,23,27,-99,15
20/01/2010,24,15,15,9,16,19,24,29,-99,18
21/01/2010,1,17,15,8,11,24,18,22,-99,29
