FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM
10/03/2006,6,21,69,12,22,6,20,63,26
10/03/2006,7,28,90,11,24,8,20,64,38
10/03/2006,8,44,111,21,28,12,28,64,81
10/03/2006,9,61,105,31,31,24,47,60,93
10/03/2006,10,57,98,26,30,45,57,52,74
10/03/2006,11,64,90,26,43,67,53,68,51
10/03/2006,12,54,71,36,39,62,45,63,50
10/03/2006,13,27,42,30,21,41,44,92,41
10/03/2006,14,25,35,15,16,19,37,115,23
10/03/2006,15,61,29,14,17,25,38,119,-99
10/03/2006,16,22,33,13,29,27,45,124,-99
10/03/2006,17,-99,33,18,24,32,51,116,-99
10/03/2006,18,-99,36,22,28,38,62,100,-99
10/03/2006,19,-99,42,23,33,43,73,89,-99
10/03/2006,20,-99,35,21,40,42,71,112,30
10/03/2006,21,-99,24,17,26,33,60,91,33
10/03/2006,22,-99,32,17,17,29,47,71,32
10/03/2006,23,-99,35,26,24,25,54,62,30
10/03/2006,24,-99,45,28,37,26,59,58,40
11/03/2006,1,-99,52,19,28,28,50,51,43
11/03/2006,2,27,54,11,36,41,45,52,34
11/03/2006,3,35,53,22,-99,36,49,48,43
11/03/2006,4,33,62,21,-99,32,44,41,43
11/03/2006,5,28,85,19,-99,25,41,42,34
11/03/2006,6,31,87,18,37,21,41,40,53
11/03/2006,7,34,80,16,33,24,42,40,38
11/03/2006,8,55,82,24,33,27,41,55,78
11/03/2006,9,61,86,24,42,35,44,72,74
11/03/2006,10,64,96,16,42,54,44,83,61
11/03/2006,11,71,78,40,59,80,42,81,73
11/03/2006,12,58,73,49,49,77,42,69,68
11/03/2006,13,34,53,54,58,46,58,68,69
11/03/2006,14,32,43,31,44,12,51,44,46
11/03/2006,15,33,46,25,28,3,38,32,-99
11/03/2006,16,36,56,14,27,10,28,31,-99
11/03/2006,17,41,64,30,19,16,9,48,-99
11/03/2006,18,38,60,31,32,24,28,61,-99
11/03/2006,19,32,46,29,31,27,55,51,-99
11/03/2006,20,34,38,27,34,31,72,55,-99
11/03/2006,21,35,29,23,47,28,-99,47,35
11/03/2006,22,30,38,29,29,27,-99,46,35
11/03/2006,23,-99,50,30,24,25,-99,42,32
11/03/2006,24,-99,40,30,28,28,41,39,37
12/03/2006,1,-99,29,33,30,25,-99,39,44
12/03/2006,2,-99,44,35,38,34,35,60,40
12/03/2006,3,38,77,35,49,29,38,61,49
12/03/2006,4,44,78,34,48,29,39,55,46
12/03/2006,5,45,69,33,42,30,39,61,34
12/03/2006,6,50,56,32,46,34,43,70,32
12/03/2006,7,50,46,35,46,37,42,65,33
12/03/2006,8,51,40,36,48,36,39,65,27
12/03/2006,9,60,45,39,38,39,39,66,32
12/03/2006,10,67,55,37,38,53,40,86,34
12/03/2006,11,68,61,34,71,72,42,104,76
12/03/2006,12,136,55,26,77,66,44,96,90
12/03/2006,13,110,43,18,63,44,65,63,55
12/03/2006,14,104,41,35,56,17,82,55,-99
12/03/2006,15,58,30,22,51,14,79,54,-99
12/03/2006,16,59,22,12,46,14,61,57,-99
12/03/2006,17,49,27,21,32,16,53,50,-99
12/03/2006,18,43,28,24,41,19,54,52,-99
12/03/2006,19,49,40,47,45,26,45,70,-99
12/03/2006,20,42,65,45,49,38,42,69,-99
12/03/2006,21,46,51,29,36,39,-99,60,-99
12/03/2006,22,46,46,31,39,37,-99,44,38
12/03/2006,23,40,43,32,39,33,-99,40,45
12/03/2006,24,42,35,30,35,36,-99,31,48
13/03/2006,1,40,37,33,31,38,33,42,32
13/03/2006,2,39,34,30,39,38,32,100,39
13/03/2006,3,39,42,29,48,34,33,82,54
13/03/2006,4,48,-99,31,49,35,37,69,57
13/03/2006,5,55,-99,30,51,32,38,64,41
13/03/2006,6,48,-99,33,49,32,37,54,32
13/03/2006,7,57,30,38,47,33,37,62,30
13/03/2006,8,81,40,43,57,41,41,76,35
13/03/2006,9,97,46,38,59,52,43,87,42
13/03/2006,10,105,66,41,63,69,42,97,40
13/03/2006,11,82,65,43,92,77,44,96,56
13/03/2006,12,76,51,49,62,62,46,68,53
13/03/2006,13,77,27,39,48,42,77,57,41
13/03/2006,14,37,20,31,36,14,97,43,-99
13/03/2006,15,14,26,29,16,6,89,45,-99
13/03/2006,16,22,29,-99,19,1,67,42,-99
13/03/2006,17,30,31,-99,21,12,50,41,-99
13/03/2006,18,27,27,-99,25,19,48,40,-99
13/03/2006,19,25,34,-99,43,26,43,67,-99
13/03/2006,20,61,28,31,42,32,47,66,-99
13/03/2006,21,32,28,23,46,31,61,68,-99
13/03/2006,22,23,27,18,37,25,-99,51,22
13/03/2006,23,21,26,21,20,17,16,51,25
13/03/2006,24,28,28,25,23,16,5,44,23
14/03/2006,1,28,31,22,25,14,4,36,26
14/03/2006,2,52,74,27,36,23,9,74,34
14/03/2006,3,72,81,27,35,22,16,75,37
14/03/2006,4,54,56,29,47,26,28,49,50
14/03/2006,5,48,-99,31,61,26,33,37,51
14/03/2006,6,50,-99,35,59,28,33,36,49
14/03/2006,7,56,-99,43,61,32,32,36,48
14/03/2006,8,59,55,45,56,34,32,40,57
14/03/2006,9,61,60,42,36,39,34,46,57
14/03/2006,10,68,72,48,40,49,31,61,55
14/03/2006,11,77,99,53,58,65,29,63,48
14/03/2006,12,67,105,53,73,62,26,50,40
14/03/2006,13,46,100,64,69,40,32,57,46
14/03/2006,14,38,89,56,38,20,35,52,54
14/03/2006,15,67,86,39,38,19,39,48,-99
14/03/2006,16,80,80,42,35,22,38,51,-99
14/03/2006,17,83,73,47,47,27,37,62,63
14/03/2006,18,76,68,48,45,31,54,64,55
14/03/2006,19,57,54,30,66,36,90,69,41
14/03/2006,20,46,44,24,47,38,79,50,43
14/03/2006,21,36,39,22,40,33,49,49,44
14/03/2006,22,32,33,20,29,32,32,31,33
14/03/2006,23,26,23,15,30,26,28,33,31
14/03/2006,24,22,22,13,25,21,25,28,24
15/03/2006,1,-99,24,15,22,15,21,21,20
15/03/2006,2,-99,25,14,36,14,20,27,18
15/03/2006,3,-99,27,15,27,15,20,18,23
15/03/2006,4,23,24,16,29,13,17,17,25
15/03/2006,5,25,21,16,32,13,-99,19,25
15/03/2006,6,29,23,12,29,12,-99,19,27
15/03/2006,7,32,25,14,30,17,-99,22,22
15/03/2006,8,34,22,20,25,24,-99,24,30
15/03/2006,9,35,22,28,24,30,10,25,27
15/03/2006,10,46,59,36,21,39,17,30,20
15/03/2006,11,66,80,46,28,53,24,44,28
15/03/2006,12,73,-99,69,50,52,25,49,44
15/03/2006,13,72,53,78,67,38,27,54,59
15/03/2006,14,52,82,55,66,22,42,54,55
15/03/2006,15,33,78,44,50,20,49,43,77
