FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
06/01/2016,12,3,12,9,9,6,7,-99,13,5,1,6,-99,1,-99,33,-99,-99,1,1,3,21,,,,,,,
06/01/2016,13,5,15,13,1,1,4,-99,10,3,12,3,-99,1,-99,23,-99,-99,6,1,4,-99,,,,,,,
06/01/2016,14,2,18,10,14,6,8,-99,2,4,30,4,-99,2,-99,17,-99,-99,15,2,10,-99,,,,,,,
06/01/2016,15,3,14,13,8,1,11,-99,16,4,16,1,-99,8,-99,27,-99,-99,8,4,21,-99,,,,,,,
06/01/2016,16,3,16,6,9,7,6,-99,1,5,16,1,-99,6,-99,18,-99,-99,10,1,11,-99,,,,,,,
06/01/2016,17,2,13,10,5,3,8,-99,9,6,55,1,-99,9,-99,1,-99,-99,12,6,7,12,,,,,,,
06/01/2016,18,3,15,9,9,8,8,-99,1,5,40,11,-99,11,-99,20,-99,-99,7,14,4,10,,,,,,,
06/01/2016,19,6,12,8,1,7,7,-99,5,3,4,4,-99,7,-99,6,-99,-99,4,17,7,11,,,,,,,
06/01/2016,20,3,1,3,13,9,5,-99,2,5,17,4,-99,8,-99,19,-99,-99,9,11,2,8,,,,,,,
06/01/2016,21,4,1,1,22,3,6,-99,6,6,2,10,-99,11,-99,14,-99,-99,20,5,8,3,,,,,,,
06/01/2016,22,8,1,7,36,3,5,-99,6,3,5,7,-99,6,-99,20,-99,-99,21,6,6,3,,,,,,,
06/01/2016,23,5,-99,2,23,3,7,-99,9,3,6,10,-99,9,-99,23,-99,-99,13,6,11,1,,,,,,,
06/01/2016,24,2,-99,6,1,2,10,-99,6,4,1,13,-99,5,-99,28,-99,-99,24,9,7,11,,,,,,,
07/01/2016,1,5,2,7,-99,1,8,-99,6,5,3,11,-99,10,-99,20,-99,-99,14,11,6,20,,,,,,,
07/01/2016,2,3,3,4,-99,9,7,-99,7,6,12,8,-99,11,-99,22,-99,-99,15,5,7,16,,,,,,,
07/01/2016,3,3,1,5,-99,3,5,-99,7,6,1,10,-99,6,-99,32,-99,-99,11,7,12,61,,,,,,,
07/01/2016,4,2,1,6,-99,5,8,-99,3,5,4,3,-99,7,-99,24,-99,-99,11,9,9,41,,,,,,,
07/01/2016,5,2,1,1,-99,5,8,-99,8,2,2,6,-99,3,-99,21,-99,-99,12,1,11,20,,,,,,,
07/01/2016,6,7,3,3,-99,5,10,-99,12,3,16,11,-99,9,-99,20,-99,-99,10,6,10,10,,,,,,,
07/01/2016,7,5,3,7,-99,3,10,-99,13,3,12,6,-99,9,-99,15,-99,-99,15,8,1,10,,,,,,,
07/01/2016,8,2,3,10,-99,9,17,-99,6,4,29,11,-99,11,-99,20,-99,-99,15,10,14,21,,,,,,,
07/01/2016,9,3,2,9,-99,10,16,-99,14,3,6,1,-99,8,-99,24,-99,-99,14,1,9,12,,,,,,,
07/01/2016,10,5,5,-99,-99,5,12,-99,10,5,9,5,-99,7,-99,1,-99,-99,11,1,15,9,,,,,,,
07/01/2016,11,3,8,-99,-99,3,8,-99,12,5,1,1,-99,4,-99,26,-99,-99,3,1,11,8,,,,,,,
07/01/2016,12,5,9,-99,-99,4,8,-99,12,10,5,6,-99,5,-99,16,-99,-99,14,-99,7,6,,,,,,,
07/01/2016,13,7,12,-99,-99,5,6,-99,2,4,24,6,-99,1,-99,16,-99,-99,10,-99,17,2,,,,,,,
07/01/2016,14,11,15,-99,-99,8,14,-99,10,7,1,3,-99,8,-99,22,-99,-99,2,-99,11,7,,,,,,,
07/01/2016,15,14,15,12,-99,10,12,-99,22,3,32,7,-99,14,-99,22,-99,-99,6,-99,10,11,,,,,,,
07/01/2016,16,11,12,16,-99,13,15,-99,10,11,6,9,-99,11,-99,22,-99,-99,7,7,7,11,,,,,,,
07/01/2016,17,10,12,11,-99,11,12,-99,27,6,1,1,-99,10,-99,11,-99,-99,6,11,10,17,,,,,,,
07/01/2016,18,9,5,13,-99,11,10,-99,1,8,19,13,-99,12,-99,16,-99,-99,3,13,6,12,,,,,,,
07/01/2016,19,8,4,12,-99,12,8,-99,3,7,18,5,-99,13,-99,27,-99,-99,9,19,10,5,,,,,,,
07/01/2016,20,9,7,8,-99,9,12,-99,10,7,9,6,-99,12,-99,13,-99,-99,1,17,3,12,,,,,,,
07/01/2016,21,6,1,9,-99,9,11,-99,9,9,4,8,-99,7,-99,19,-99,-99,1,14,6,10,,,,,,,
07/01/2016,22,7,6,13,-99,4,11,-99,10,5,3,9,-99,13,-99,20,-99,-99,21,12,8,3,,,,,,,
07/01/2016,23,8,3,7,-99,10,14,-99,15,8,14,8,-99,13,-99,16,-99,-99,12,14,9,6,,,,,,,
07/01/2016,24,7,3,7,-99,8,11,-99,13,6,40,11,-99,13,-99,20,-99,-99,16,13,18,14,,,,,,,
08/01/2016,1,3,2,9,-99,18,11,-99,9,3,31,3,-99,17,-99,32,-99,-99,5,8,18,32,,,,,,,
08/01/2016,2,5,4,7,-99,9,11,-99,6,3,14,10,-99,28,-99,39,-99,-99,9,6,14,29,,,,,,,
08/01/2016,3,1,1,8,-99,6,12,-99,6,4,3,4,-99,13,-99,49,-99,-99,10,9,18,12,,,,,,,
08/01/2016,4,3,1,7,-99,6,12,-99,11,4,14,10,-99,4,-99,35,-99,-99,15,5,6,26,,,,,,,
08/01/2016,5,3,1,14,-99,8,12,-99,8,4,8,4,-99,6,-99,29,-99,-99,20,5,12,22,,,,,,,
08/01/2016,6,4,4,12,-99,6,13,-99,14,4,10,7,-99,8,-99,29,-99,-99,19,12,10,22,,,,,,,
08/01/2016,7,1,2,8,-99,6,16,-99,10,3,19,16,-99,10,-99,18,-99,-99,23,7,14,14,,,,,,,
08/01/2016,8,1,6,3,-99,14,16,-99,15,3,13,15,-99,9,-99,20,-99,-99,22,13,12,18,,,,,,,
08/01/2016,9,12,7,5,-99,8,15,-99,3,3,7,1,-99,7,-99,18,-99,-99,12,4,18,15,,,,,,,
08/01/2016,10,6,1,8,-99,8,16,-99,11,4,11,2,-99,9,-99,3,-99,-99,4,1,14,14,,,,,,,
08/01/2016,11,5,3,8,-99,7,9,-99,12,3,8,4,-99,5,-99,10,-99,-99,6,1,14,1,,,,,,,
08/01/2016,12,7,9,11,-99,5,9,-99,1,6,1,3,-99,-99,-99,12,-99,-99,3,1,1,12,,,,,,,
08/01/2016,13,13,15,10,-99,2,6,-99,6,7,10,3,-99,1,-99,23,-99,-99,5,1,16,4,,,,,,,
08/01/2016,14,12,15,12,-99,12,10,-99,7,5,29,7,-99,4,-99,1,-99,-99,12,1,10,2,,,,,,,
08/01/2016,15,17,14,13,-99,8,17,-99,18,8,37,3,-99,13,-99,32,-99,-99,1,4,11,18,,,,,,,
08/01/2016,16,7,11,14,-99,13,14,-99,1,8,44,1,-99,12,-99,73,-99,-99,5,11,17,11,,,,,,,
08/01/2016,17,3,10,7,-99,11,13,-99,14,8,15,14,-99,15,-99,31,-99,-99,9,7,13,-99,,,,,,,
08/01/2016,18,3,12,7,-99,9,9,-99,8,3,1,12,-99,10,-99,20,-99,-99,1,11,8,-99,,,,,,,
08/01/2016,19,8,10,8,-99,8,9,-99,6,4,3,3,-99,9,-99,22,-99,-99,2,18,8,8,,,,,,,
08/01/2016,20,3,3,11,-99,9,7,-99,4,8,3,6,-99,7,-99,24,-99,-99,6,13,11,5,,,,,,,
08/01/2016,21,10,1,9,-99,7,12,-99,8,5,6,13,-99,8,-99,21,-99,-99,13,15,8,15,,,,,,,
08/01/2016,22,10,1,8,-99,9,11,-99,8,7,2,8,-99,9,-99,22,-99,-99,7,16,11,25,,,,,,,
08/01/2016,23,9,1,18,-99,8,13,-99,8,4,1,9,-99,10,-99,26,-99,-99,12,16,16,18,,,,,,,
08/01/2016,24,1,3,38,-99,9,14,-99,12,1,9,9,-99,14,-99,25,-99,-99,14,13,19,20,,,,,,,
09/01/2016,1,4,1,13,-99,12,12,-99,15,3,5,7,-99,22,-99,26,-99,-99,10,26,18,29,,,,,,,
09/01/2016,2,6,1,11,-99,13,15,-99,13,2,15,8,-99,10,-99,19,-99,-99,21,20,19,15,,,,,,,
09/01/2016,3,2,1,15,-99,14,17,-99,6,2,15,8,-99,6,-99,18,-99,-99,25,17,16,6,,,,,,,
09/01/2016,4,3,-99,12,-99,13,15,-99,16,1,6,11,-99,5,-99,18,-99,-99,22,22,13,1,,,,,,,
09/01/2016,5,1,1,7,-99,11,17,-99,15,1,10,14,-99,7,-99,25,-99,-99,17,10,23,3,,,,,,,
09/01/2016,6,1,1,12,-99,11,15,-99,12,1,16,9,-99,7,-99,29,-99,-99,16,14,11,1,,,,,,,
09/01/2016,7,1,3,11,-99,8,13,-99,11,1,17,13,-99,18,-99,35,-99,-99,12,16,14,1,,,,,,,
09/01/2016,8,10,2,13,-99,7,17,-99,11,1,31,18,-99,17,-99,48,-99,-99,20,20,24,7,,,,,,,
09/01/2016,9,16,7,15,-99,2,16,-99,18,1,32,11,-99,23,-99,66,-99,-99,43,14,16,3,,,,,,,
09/01/2016,10,5,-99,17,-99,9,20,-99,19,1,25,13,-99,35,-99,26,-99,-99,39,10,15,12,,,,,,,
09/01/2016,11,15,7,23,-99,11,20,-99,25,4,33,20,-99,24,-99,28,-99,-99,59,8,22,31,,,,,,,
09/01/2016,12,13,17,25,-99,17,22,-99,30,4,35,27,-99,8,-99,39,-99,-99,42,12,19,32,,,,,,,
09/01/2016,13,13,14,22,-99,6,17,-99,17,9,14,30,-99,2,-99,40,-99,-99,37,1,9,22,,,,,,,
09/01/2016,14,8,24,28,-99,6,20,-99,16,9,19,20,-99,3,-99,15,-99,-99,43,1,20,22,,,,,,,
09/01/2016,15,9,19,12,-99,11,16,-99,22,6,9,7,-99,12,-99,35,-99,-99,21,3,16,22,,,,,,,
09/01/2016,16,1,17,21,-99,12,14,-99,8,4,26,19,-99,18,-99,29,-99,-99,14,13,16,14,,,,,,,
09/01/2016,17,-99,16,16,-99,6,15,-99,19,3,17,10,-99,17,-99,26,-99,-99,14,10,6,21,,,,,,,
