FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,CES,PLA,HAN,UIZ,ARA,IMP,TAX,MIN,TLI,ATI,VIF,SAG,VAL,AZC,SUR
04/01/2006,7,2.3,1.3,1.8,2.9,3.1,2.9,1.5,3.5,2.3,1.3,2.1,4.9,4.0,1.7,2.8,2.4,1.8,1.0,2.5,3.8,1.7,2.1
04/01/2006,8,3.0,3.4,2.9,3.5,6.5,2.9,2.3,3.9,4.6,1.4,4.8,6.0,5.1,2.3,4.2,3.2,2.9,1.9,3.6,6.2,3.1,2.0
04/01/2006,9,2.6,4.2,3.3,4.8,6.3,3.7,4.1,5.5,4.5,1.8,5.7,5.3,6.1,2.8,4.6,4.3,2.8,1.7,-99,5.4,3.6,2.7
04/01/2006,10,3.4,5.5,4.5,4.3,5.2,2.9,2.9,6.2,4.0,1.2,3.6,3.5,4.7,2.6,4.6,4.0,2.3,2.2,-99,4.5,4.3,1.5
04/01/2006,11,3.4,5.2,5.2,3.0,3.8,-99,1.9,5.1,2.7,1.1,3.0,2.7,3.7,2.3,3.8,3.3,1.6,1.7,-99,2.6,3.6,1.3
04/01/2006,12,2.6,3.2,3.1,3.0,2.0,-99,-99,3.6,1.8,1.1,2.2,2.1,3.0,3.4,3.1,2.4,1.2,1.2,-99,2.6,-99,1.4
04/01/2006,13,2.0,1.5,1.8,2.7,2.1,-99,-99,2.4,2.6,0.8,1.3,1.7,2.1,3.1,2.4,1.0,0.9,0.8,-99,1.8,-99,1.6
04/01/2006,14,1.8,1.1,1.4,2.6,2.3,1.4,2.0,1.6,-99,0.7,0.7,1.7,2.1,1.9,2.2,0.6,1.1,0.3,-99,0.8,1.4,1.6
04/01/2006,15,1.3,0.8,1.3,1.7,2.0,1.2,1.7,1.3,-99,0.7,0.5,1.5,1.6,1.8,1.9,0.6,0.6,0.2,-99,0.4,0.7,1.2
04/01/2006,16,1.6,0.6,1.1,1.2,1.5,0.9,1.6,1.2,-99,0.5,0.4,1.7,1.6,1.9,2.0,0.4,0.4,0.1,-99,0.6,0.6,1.1
04/01/2006,17,1.4,0.4,1.0,1.3,2.1,0.7,1.4,1.4,-99,0.5,0.4,1.6,1.3,2.2,2.1,0.6,0.3,0.2,-99,0.6,0.5,0.8
04/01/2006,18,1.9,0.6,1.0,1.4,2.3,0.8,1.8,2.2,1.7,0.5,0.6,2.3,1.3,2.7,1.8,0.7,0.4,0.3,-99,0.6,0.8,1.2
04/01/2006,19,1.6,1.0,1.1,1.8,2.1,2.4,2.0,2.6,1.9,1.0,1.2,2.7,1.6,3.3,2.2,1.1,0.5,0.7,-99,1.2,1.1,1.5
04/01/2006,20,2.7,3.7,0.9,2.5,2.4,1.7,2.9,2.1,2.0,1.4,1.7,2.3,1.9,4.0,3.0,1.3,0.7,0.8,-99,1.5,1.9,2.1
04/01/2006,21,2.0,1.7,1.7,2.3,3.1,1.8,2.8,2.3,2.3,1.2,1.7,3.2,2.1,2.4,3.1,1.4,0.4,1.1,-99,1.5,1.7,3.0
04/01/2006,22,1.7,1.3,2.2,2.3,3.1,2.2,2.9,1.9,1.4,1.3,1.5,3.7,2.3,2.6,2.3,1.5,0.4,1.3,-99,1.7,1.6,2.2
04/01/2006,23,1.8,2.0,2.5,3.2,4.2,1.9,2.0,1.6,1.8,2.5,2.2,5.9,2.9,2.7,2.1,2.6,0.6,2.4,-99,1.8,1.2,1.5
04/01/2006,24,1.7,1.4,2.0,3.5,3.8,1.9,1.6,2.0,1.7,2.7,2.0,5.7,2.6,3.9,2.0,2.5,0.6,2.0,-99,1.9,1.6,1.4
05/01/2006,1,1.6,1.0,1.0,2.2,2.5,1.6,1.2,1.4,0.9,2.8,1.8,5.1,2.5,3.8,1.7,2.0,0.1,1.9,-99,1.7,1.0,1.5
05/01/2006,2,1.1,0.5,0.8,1.6,2.7,1.0,0.8,2.6,0.8,2.5,1.7,3.6,1.9,2.4,1.3,1.3,0.0,1.4,-99,0.7,0.7,2.3
05/01/2006,3,0.8,0.1,0.7,1.0,3.3,0.8,0.9,1.5,0.5,1.9,2.0,2.3,1.8,1.8,2.2,0.9,0.0,1.3,-99,0.6,0.7,2.0
05/01/2006,4,0.6,0.1,0.8,0.8,3.4,1.2,0.9,2.1,0.5,1.6,1.5,2.3,1.6,1.5,2.4,0.8,0.0,1.1,-99,1.0,0.6,1.1
05/01/2006,5,1.1,0.1,0.7,0.8,2.1,1.2,0.6,2.4,0.5,1.1,1.2,1.4,1.5,1.8,2.1,0.8,0.1,1.0,-99,0.9,0.5,0.9
05/01/2006,6,1.3,0.7,0.8,1.4,2.0,1.0,0.7,2.0,0.6,1.1,1.0,1.8,2.2,2.1,2.5,0.8,0.5,1.2,-99,1.7,0.9,1.0
05/01/2006,7,2.1,1.3,1.7,1.7,3.0,2.4,1.2,3.8,2.0,1.4,2.4,3.1,2.9,2.0,2.9,2.4,1.8,1.4,-99,3.2,1.7,1.9
05/01/2006,8,3.3,1.9,3.1,3.6,4.5,3.8,1.8,4.1,5.6,1.1,3.4,5.4,4.2,3.2,3.9,2.4,1.4,2.9,-99,5.4,3.1,3.9
05/01/2006,9,4.8,3.2,3.8,4.1,5.1,2.5,2.5,3.9,3.8,1.5,3.3,4.4,4.9,3.6,4.2,3.7,1.7,1.8,-99,5.6,4.8,4.9
05/01/2006,10,3.7,4.6,3.4,3.2,4.0,2.5,2.2,4.9,3.2,1.7,2.7,4.0,4.9,3.6,3.6,3.2,1.6,1.3,-99,2.9,3.5,2.3
05/01/2006,11,3.4,2.1,1.9,3.4,2.8,2.7,2.3,3.2,3.4,2.6,1.9,3.1,-99,2.6,3.9,1.7,1.1,1.1,-99,2.4,1.9,2.1
05/01/2006,12,1.7,1.0,1.6,1.7,2.8,2.4,2.3,2.3,2.8,2.5,1.4,-99,-99,1.7,2.6,0.8,0.6,0.3,-99,1.6,1.6,1.7
05/01/2006,13,1.4,1.5,0.9,1.4,1.8,1.9,1.6,2.6,1.4,2.4,1.9,-99,1.4,2.0,2.0,0.5,0.4,0.2,-99,0.8,1.0,1.6
05/01/2006,14,1.2,0.5,0.6,0.9,1.5,1.4,1.4,2.1,1.5,1.0,1.2,-99,1.1,1.4,2.0,0.4,0.2,-99,-99,0.5,0.6,1.0
05/01/2006,15,0.7,0.4,0.6,1.0,1.4,1.1,1.3,1.0,1.1,0.7,0.3,1.0,0.8,0.9,1.4,0.4,0.2,0.3,-99,0.3,0.6,1.0
05/01/2006,16,0.6,0.3,0.5,1.1,1.7,1.4,1.0,0.7,0.8,0.9,0.5,1.3,0.6,0.7,1.4,0.4,0.1,0.3,-99,0.5,0.4,0.8
05/01/2006,17,0.9,0.2,0.6,0.9,1.9,0.9,0.8,1.0,0.8,0.5,0.4,1.4,0.6,0.8,1.4,0.4,0.2,0.3,-99,0.3,0.5,0.8
05/01/2006,18,0.7,0.3,0.7,0.8,1.7,0.6,0.9,1.1,0.8,0.6,0.3,1.4,0.8,0.8,1.6,0.3,0.2,0.4,-99,0.3,0.5,0.5
05/01/2006,19,1.1,0.3,0.8,1.0,2.0,0.8,0.8,1.2,0.8,0.7,0.5,1.6,0.7,0.7,1.5,0.4,0.3,0.4,-99,0.5,0.5,0.7
05/01/2006,20,1.0,0.4,0.9,1.3,1.8,0.8,0.9,0.9,0.8,0.8,0.8,1.6,0.8,0.9,1.6,0.5,0.4,0.5,-99,0.4,0.6,0.9
05/01/2006,21,1.1,0.5,0.9,1.4,1.8,0.7,0.9,0.9,0.8,0.7,0.7,1.7,0.8,1.1,1.5,0.6,0.2,0.5,-99,0.6,0.7,0.9
05/01/2006,22,0.8,0.5,0.8,1.4,1.7,0.8,0.9,0.9,1.0,0.7,0.6,1.6,0.9,1.2,1.3,0.7,0.2,0.4,-99,0.8,0.8,0.9
05/01/2006,23,0.7,0.4,0.6,1.0,1.6,0.9,0.9,0.6,0.9,0.8,0.6,1.6,1.0,0.9,1.3,0.6,0.2,0.5,-99,0.8,0.6,0.8
05/01/2006,24,0.7,0.4,0.5,0.9,1.4,0.9,0.7,0.6,0.6,0.9,0.6,1.5,0.8,0.8,1.1,0.6,0.3,0.4,-99,0.8,0.6,0.6
06/01/2006,1,0.5,0.3,0.5,0.8,1.2,0.7,0.6,0.6,0.6,0.8,0.5,1.3,0.7,0.7,1.0,0.6,0.2,0.4,-99,0.4,0.5,0.6
06/01/2006,2,0.5,0.3,0.5,-99,1.0,0.4,0.7,0.6,0.6,0.7,0.3,1.1,0.6,0.7,1.0,0.4,0.1,0.3,-99,0.3,0.4,0.5
06/01/2006,3,0.4,0.1,0.5,0.7,1.0,0.2,0.7,0.5,0.4,0.5,0.2,1.0,0.6,0.4,0.8,0.3,0.1,0.2,-99,0.2,0.3,0.3
06/01/2006,4,0.2,0.0,0.4,0.6,0.9,0.1,0.5,0.4,0.3,0.5,0.2,0.9,0.5,0.1,0.7,0.3,0.0,0.2,-99,0.1,0.2,0.2
06/01/2006,5,0.1,0.1,0.4,0.6,0.9,0.1,0.5,0.4,0.3,0.6,0.2,0.9,0.5,0.2,0.7,0.3,0.0,0.2,-99,0.1,0.3,0.3
06/01/2006,6,0.2,0.1,0.5,0.7,1.2,0.2,0.5,1.6,0.3,0.6,0.2,1.0,0.7,0.5,0.8,0.3,0.1,0.2,-99,0.4,0.3,0.3
06/01/2006,7,0.5,0.4,0.7,0.9,1.5,0.4,0.6,0.9,0.7,0.6,0.4,1.2,0.9,0.9,1.1,0.4,0.2,0.3,-99,0.5,0.5,0.5
06/01/2006,8,0.7,0.6,1.0,0.9,1.7,0.5,0.9,1.5,1.0,0.8,0.5,1.3,1.0,1.4,1.2,0.6,0.4,0.3,-99,0.9,0.6,0.7
06/01/2006,9,0.9,0.4,1.1,1.0,1.9,0.4,1.1,1.3,1.3,0.8,0.7,1.5,1.0,1.7,1.4,0.6,0.5,0.4,-99,0.6,0.8,0.9
06/01/2006,10,0.6,0.4,1.1,1.2,1.8,0.8,1.3,1.4,2.1,0.7,0.7,1.3,1.0,1.6,1.3,0.6,0.7,0.3,-99,0.7,0.7,-99
06/01/2006,11,0.5,0.5,0.9,1.3,1.6,1.2,1.1,1.3,1.1,1.3,0.8,1.1,0.9,0.9,1.3,0.5,0.2,0.3,-99,0.5,0.7,1.0
06/01/2006,12,0.4,0.3,0.7,1.0,1.4,0.9,0.9,1.0,1.0,1.4,0.8,1.0,0.7,0.6,1.6,0.4,-99,0.3,-99,0.5,0.5,0.8
06/01/2006,13,0.5,0.2,0.6,1.1,1.4,0.8,0.8,1.1,0.7,0.9,0.7,0.9,0.7,0.5,1.2,0.4,-99,0.3,-99,0.4,0.4,0.6
06/01/2006,14,0.6,0.4,0.7,1.3,1.6,0.9,0.9,1.0,0.8,0.7,0.6,0.9,0.7,0.8,1.2,0.4,-99,0.3,-99,0.5,0.5,0.8
