FECHA,HORA,ACO,ATI,CAM,CHO,COY,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
26/01/2013,7,24,33,40,-99,35,32,26,-99,38,33,32,37,42,28,33,29,-99,39,37,34,26,32,36,4,35,37,27,39
26/01/2013,8,24,34,36,-99,34,41,25,-99,43,41,31,41,43,33,34,33,-99,37,34,35,31,33,32,6,38,39,25,38
26/01/2013,9,24,44,46,-99,39,42,42,-99,42,52,40,60,45,30,39,40,-99,30,40,40,34,42,41,24,37,49,31,52
26/01/2013,10,24,50,62,-99,46,48,33,-99,60,-99,55,67,63,26,35,45,-99,32,56,53,29,52,59,39,52,52,50,67
26/01/2013,11,17,57,65,-99,63,43,27,-99,79,-99,46,85,75,16,39,48,-99,50,46,53,27,76,65,43,61,50,39,75
26/01/2013,12,10,63,95,-99,69,54,24,-99,85,-99,51,98,57,10,33,61,-99,56,35,65,27,80,44,36,76,48,32,66
26/01/2013,13,9,32,75,-99,52,55,10,-99,61,-99,35,74,47,8,20,58,-99,44,28,52,46,73,36,29,44,31,16,50
26/01/2013,14,16,42,45,-99,33,43,9,-99,36,-99,28,41,34,7,28,44,-99,48,29,34,30,60,35,-99,28,30,26,31
26/01/2013,15,14,44,28,-99,21,38,19,-99,24,-99,17,28,27,9,28,31,-99,37,30,20,6,34,31,-99,20,23,24,29
26/01/2013,16,10,25,18,-99,10,-99,26,-99,20,-99,17,31,24,10,28,16,-99,22,27,11,5,19,20,-99,8,19,22,33
26/01/2013,17,13,22,23,-99,10,16,27,-99,24,-99,13,23,27,10,19,11,-99,15,26,9,6,23,26,-99,8,12,21,34
26/01/2013,18,16,33,38,-99,12,15,30,-99,30,-99,18,26,28,13,20,11,-99,15,32,16,8,31,30,-99,15,14,20,32
26/01/2013,19,-99,63,48,-99,23,14,39,-99,45,-99,27,35,48,17,28,23,-99,25,48,26,10,48,47,-99,23,22,49,46
26/01/2013,20,27,50,44,-99,39,25,33,-99,59,66,55,51,54,18,39,30,-99,24,54,39,12,50,42,-99,26,40,32,53
26/01/2013,21,23,28,46,-99,54,20,25,-99,67,65,66,52,69,16,45,31,-99,26,72,47,41,52,38,-99,34,51,30,64
26/01/2013,22,23,25,46,-99,39,20,27,-99,47,55,53,61,62,24,57,41,-99,47,76,57,37,37,38,-99,43,63,29,60
26/01/2013,23,22,21,38,-99,37,19,37,-99,34,40,34,56,45,34,73,38,-99,42,73,53,43,34,35,-99,58,52,30,65
26/01/2013,24,29,26,43,-99,44,21,37,-99,43,41,35,56,44,29,66,31,-99,-99,69,58,42,44,44,-99,51,46,34,59
27/01/2013,1,26,29,45,-99,46,43,37,-99,47,46,36,53,45,27,54,25,-99,-99,52,51,48,46,44,-99,47,59,33,57
27/01/2013,2,27,28,47,-99,44,23,34,-99,47,43,35,48,45,27,60,20,-99,-99,41,46,32,39,46,-99,52,55,-99,39
27/01/2013,3,24,23,43,-99,41,23,36,-99,49,46,34,40,46,24,55,16,-99,-99,40,47,31,40,44,-99,46,52,34,35
27/01/2013,4,23,31,39,-99,40,24,33,-99,43,46,33,38,38,22,50,15,-99,-99,34,49,26,38,42,-99,39,45,33,34
27/01/2013,5,21,33,39,-99,39,26,32,-99,37,42,30,40,35,22,43,15,-99,-99,33,42,29,32,40,-99,35,43,29,32
27/01/2013,6,20,33,38,-99,39,28,29,-99,42,41,25,35,36,24,34,16,-99,29,34,34,27,33,39,-99,31,44,25,31
27/01/2013,7,21,34,37,-99,36,25,29,-99,44,40,26,32,39,25,34,19,-99,34,35,35,24,36,39,-99,32,45,23,33
27/01/2013,8,22,37,37,-99,37,36,28,-99,44,41,25,36,43,24,33,24,-99,36,36,37,25,36,36,-99,33,42,23,34
27/01/2013,9,22,39,46,-99,36,30,38,-99,46,-99,35,53,51,27,48,36,-99,27,36,36,28,37,43,-99,35,40,30,43
27/01/2013,10,22,45,68,-99,41,26,37,-99,71,-99,55,78,63,21,75,45,-99,26,46,38,25,51,55,-99,26,33,40,53
27/01/2013,11,18,45,76,-99,35,32,38,-99,85,-99,43,66,78,12,76,40,-99,39,49,29,15,63,57,-99,20,38,49,52
27/01/2013,12,24,53,54,-99,24,23,28,-99,50,-99,34,55,72,10,64,22,-99,24,55,21,14,57,45,-99,18,31,33,44
27/01/2013,13,16,27,32,-99,15,12,11,-99,31,33,29,53,41,9,28,14,-99,19,28,14,10,31,20,-99,17,32,13,51
27/01/2013,14,9,17,23,-99,15,16,7,-99,20,23,12,28,26,8,15,11,-99,17,18,11,14,18,15,-99,14,28,10,26
27/01/2013,15,9,18,21,-99,13,14,10,-99,20,23,10,31,20,8,14,13,-99,16,15,13,11,21,18,-99,14,20,10,21
27/01/2013,16,11,17,20,-99,16,16,10,-99,21,19,16,23,22,7,16,17,-99,16,14,12,9,22,18,-99,12,18,13,21
27/01/2013,17,11,23,25,-99,16,17,12,-99,23,20,17,26,24,8,14,17,-99,19,16,14,7,17,17,-99,10,18,11,18
27/01/2013,18,16,25,25,-99,22,24,11,-99,27,31,15,20,23,11,18,18,-99,23,23,17,9,29,19,-99,13,17,11,21
27/01/2013,19,27,50,38,-99,24,49,19,-99,36,36,21,28,35,12,28,23,-99,64,38,24,11,54,25,-99,20,17,34,31
27/01/2013,20,21,61,46,-99,37,39,55,-99,44,43,26,32,38,14,41,41,-99,44,46,32,10,60,50,-99,22,26,28,42
27/01/2013,21,20,61,57,-99,50,20,19,-99,53,48,24,28,46,10,47,44,-99,33,55,47,13,58,29,-99,24,40,36,35
27/01/2013,22,21,52,55,-99,50,13,25,-99,60,58,29,32,65,13,36,57,-99,18,52,47,34,41,57,-99,26,54,49,52
27/01/2013,23,25,27,59,-99,58,14,42,-99,67,51,38,36,63,13,47,40,-99,24,60,60,35,61,56,-99,43,43,49,59
27/01/2013,24,32,19,56,-99,54,11,40,-99,61,59,47,30,64,13,52,26,-99,23,58,68,47,-99,52,-99,44,53,44,57
28/01/2013,1,21,11,52,-99,53,11,42,-99,42,55,44,54,58,31,37,20,-99,19,52,46,35,-99,49,-99,32,40,34,52
28/01/2013,2,13,11,47,-99,41,7,45,-99,41,51,41,51,52,30,46,22,-99,19,46,35,24,-99,46,-99,30,31,37,44
28/01/2013,3,27,14,44,-99,35,19,37,-99,48,34,40,47,49,26,51,13,-99,19,43,33,17,-99,39,-99,26,28,30,40
28/01/2013,4,14,14,36,-99,32,30,34,-99,37,25,39,48,39,24,46,15,-99,16,42,29,17,-99,46,-99,18,27,37,47
28/01/2013,5,16,16,36,-99,36,25,33,-99,40,32,35,47,38,26,45,13,-99,23,39,34,15,-99,43,-99,17,26,36,41
28/01/2013,6,21,35,40,-99,35,41,32,-99,44,35,32,47,43,24,43,18,-99,32,38,33,28,37,41,-99,29,37,35,46
28/01/2013,7,24,41,44,-99,35,50,34,-99,44,40,38,46,45,29,41,34,-99,45,38,36,27,40,42,-99,30,39,30,52
28/01/2013,8,24,46,46,-99,36,54,38,-99,43,39,39,51,46,33,37,40,-99,50,39,41,24,45,42,-99,34,41,30,50
28/01/2013,9,27,54,58,-99,39,39,48,-99,47,50,45,80,50,35,40,46,-99,38,46,41,33,54,47,-99,30,53,39,66
28/01/2013,10,22,66,67,-99,52,58,49,-99,48,74,56,97,76,25,61,58,-99,56,75,42,37,67,58,-99,35,76,50,74
28/01/2013,11,16,31,58,-99,57,46,-99,-99,46,88,50,-99,111,11,64,57,-99,51,88,67,46,-99,50,-99,85,68,52,67
28/01/2013,12,15,35,56,-99,48,27,-99,-99,54,76,33,-99,109,10,46,53,-99,36,64,62,60,59,37,-99,71,50,25,44
28/01/2013,13,9,28,35,-99,29,25,-99,-99,44,36,23,-99,60,11,31,28,-99,25,38,23,20,33,29,-99,25,24,23,30
28/01/2013,14,9,25,32,-99,12,16,-99,-99,22,19,14,24,26,7,21,19,-99,26,24,8,15,37,19,-99,13,17,20,26
28/01/2013,15,9,29,27,-99,6,8,-99,-99,22,17,15,24,21,4,11,14,-99,17,22,9,14,39,30,9,6,13,16,30
28/01/2013,16,9,30,23,-99,6,8,23,-99,25,14,19,34,23,5,13,11,-99,12,21,6,9,26,26,12,6,18,15,28
28/01/2013,17,9,17,24,-99,17,10,27,-99,29,22,14,42,25,7,16,14,-99,12,21,11,8,26,28,7,10,17,25,36
28/01/2013,18,11,20,35,-99,13,11,39,-99,32,30,16,39,33,9,21,13,-99,17,35,13,7,31,33,4,12,16,25,36
28/01/2013,19,14,44,44,-99,15,15,52,-99,35,30,22,44,42,10,36,14,-99,23,44,18,8,55,36,7,15,24,32,38
28/01/2013,20,13,32,31,-99,30,18,40,-99,46,34,28,51,29,14,52,19,-99,23,46,22,10,45,36,5,18,27,30,52
28/01/2013,21,13,38,51,-99,33,12,45,-99,48,40,37,62,46,13,55,26,-99,32,49,27,10,46,50,7,25,37,46,62
28/01/2013,22,17,29,57,-99,45,16,34,-99,48,40,45,51,42,13,52,29,-99,31,59,43,18,51,47,6,20,45,53,59
28/01/2013,23,32,37,48,-99,47,12,40,-99,39,47,43,58,54,15,48,34,-99,20,58,52,28,60,44,7,28,35,53,56
28/01/2013,24,39,42,50,-99,46,-99,40,-99,39,40,50,54,-99,18,46,25,-99,20,58,51,36,56,27,3,25,33,40,54
29/01/2013,1,31,35,39,-99,43,-99,38,-99,51,34,47,52,-99,16,35,17,-99,16,57,51,20,51,37,3,25,27,41,53
29/01/2013,2,38,11,22,-99,39,-99,36,-99,46,30,44,51,-99,20,34,14,-99,10,50,36,20,40,32,3,29,31,37,52
29/01/2013,3,23,20,30,-99,25,-99,32,-99,37,33,43,51,-99,24,18,34,-99,11,51,27,14,38,39,7,18,22,33,49
29/01/2013,4,18,33,41,-99,28,-99,26,-99,28,23,42,44,-99,26,17,19,-99,18,47,23,11,34,42,4,15,21,33,47
29/01/2013,5,19,36,48,-99,26,-99,28,-99,33,22,34,40,-99,26,19,13,-99,24,42,22,10,30,39,2,16,26,32,43
29/01/2013,6,23,33,59,-99,26,20,27,-99,37,33,33,47,39,24,39,29,-99,28,40,27,11,31,42,5,23,35,32,48
29/01/2013,7,23,36,53,-99,30,26,24,-99,38,34,35,44,38,23,40,32,-99,34,40,31,23,34,38,7,31,38,30,-99
29/01/2013,8,25,40,42,-99,33,35,24,-99,39,38,35,44,40,28,42,38,-99,27,42,36,26,34,36,9,32,38,31,-99
29/01/2013,9,24,48,53,-99,36,16,35,-99,46,51,43,66,52,32,47,46,-99,21,59,42,32,49,45,18,32,47,34,53
29/01/2013,10,19,43,85,-99,43,9,40,-99,60,54,57,68,62,22,65,49,-99,27,54,38,21,67,62,36,35,58,34,52
29/01/2013,11,14,44,67,-99,29,15,27,-99,-99,38,50,51,58,11,62,47,-99,47,29,18,8,50,57,29,27,49,34,46
29/01/2013,12,13,17,45,-99,17,15,22,-99,-99,23,25,48,44,4,28,30,-99,36,26,14,5,14,36,19,17,35,25,48
29/01/2013,13,17,6,35,-99,21,10,21,-99,-99,22,39,37,33,4,10,29,-99,29,28,14,6,10,11,18,9,14,26,39
29/01/2013,14,11,7,29,-99,17,6,10,-99,24,17,25,46,28,4,11,23,-99,25,24,15,6,9,13,18,8,14,14,35
29/01/2013,15,7,11,24,-99,20,5,6,-99,25,15,29,36,25,5,11,21,-99,10,21,14,8,12,12,19,8,18,15,37
29/01/2013,16,8,10,17,-99,16,6,7,-99,29,17,18,22,37,6,12,22,-99,8,21,11,7,13,16,15,9,-99,16,34
29/01/2013,17,9,11,17,-99,17,6,7,-99,22,22,13,27,30,7,14,19,-99,9,26,10,6,13,12,3,9,-99,15,32
29/01/2013,18,11,12,17,-99,13,8,11,-99,22,19,14,23,32,9,22,10,-99,14,31,10,6,19,15,2,9,16,20,27
29/01/2013,19,14,12,25,-99,12,6,9,-99,30,24,19,38,38,12,33,14,-99,14,38,17,10,24,29,3,13,21,-99,37
29/01/2013,20,14,29,27,-99,20,8,23,-99,27,30,25,44,37,14,42,15,-99,17,43,20,11,40,37,5,21,28,-99,45
29/01/2013,21,16,27,25,-99,26,7,27,-99,34,36,39,45,38,14,44,21,-99,16,46,25,23,40,35,7,31,35,28,49
29/01/2013,22,28,17,33,-99,21,9,25,-99,34,27,43,47,34,14,42,19,-99,20,39,35,39,35,35,7,34,28,26,51
29/01/2013,23,33,30,33,-99,27,13,33,-99,35,31,-99,51,35,23,36,27,-99,15,38,34,27,35,34,9,32,35,35,52
29/01/2013,24,37,30,32,-99,32,20,32,-99,-99,34,33,50,35,14,38,-99,-99,20,38,34,23,32,34,-99,30,37,34,46
30/01/2013,1,31,25,32,-99,30,21,31,-99,-99,31,30,44,35,11,31,-99,-99,12,42,31,20,30,35,4,29,30,33,40
30/01/2013,2,25,29,31,-99,24,18,29,-99,-99,22,34,39,35,15,20,-99,-99,11,39,23,18,32,36,3,21,19,30,40
30/01/2013,3,26,29,32,-99,25,13,28,-99,-99,27,33,35,33,15,22,-99,-99,17,35,23,10,30,36,2,20,22,29,38
30/01/2013,4,26,20,31,-99,25,8,27,-99,-99,26,31,34,33,19,34,-99,-99,20,34,24,11,27,34,1,21,31,27,35
30/01/2013,5,21,11,30,-99,27,1,27,-99,-99,29,29,38,33,21,32,-99,-99,13,35,28,19,30,30,0,26,31,25,34
30/01/2013,6,23,20,32,-99,28,4,26,-99,4,32,30,42,35,25,31,29,-99,14,32,30,22,27,32,2,27,32,26,32
30/01/2013,7,25,26,30,-99,28,15,30,-99,33,32,32,44,31,27,33,29,-99,32,35,35,31,32,36,10,29,30,29,34
30/01/2013,8,25,33,32,-99,30,36,29,-99,34,33,29,45,33,26,38,30,-99,30,35,33,32,37,38,-99,34,35,29,36
30/01/2013,9,26,47,41,-99,38,32,35,-99,43,40,42,47,45,22,53,28,-99,22,40,42,33,51,46,12,31,49,37,44
30/01/2013,10,23,68,62,-99,40,24,34,-99,64,55,63,43,49,41,57,39,-99,26,45,39,32,65,62,30,36,45,53,57
30/01/2013,11,18,59,59,-99,54,34,22,-99,49,42,40,60,44,27,43,48,-99,40,50,46,31,60,44,28,35,47,33,51
30/01/2013,12,-99,34,48,-99,32,39,13,-99,55,33,19,45,48,11,23,57,-99,44,42,41,34,59,28,43,27,26,16,33
30/01/2013,13,-99,17,47,-99,33,50,10,-99,57,37,16,53,44,4,17,30,-99,45,26,20,20,26,17,37,18,27,10,32
30/01/2013,14,7,20,37,-99,36,37,10,-99,58,36,13,49,42,4,14,31,-99,33,31,26,14,24,11,23,25,20,7,33
30/01/2013,15,8,19,28,-99,36,36,12,-99,56,39,15,42,56,6,15,36,-99,34,35,31,15,27,14,26,20,32,9,41
30/01/2013,16,9,20,27,7,44,39,18,-99,48,45,19,23,56,8,26,43,-99,43,36,41,15,33,18,36,31,39,11,36
30/01/2013,17,11,24,33,8,44,38,17,-99,42,54,21,26,48,8,19,49,-99,39,26,50,14,36,21,44,37,40,13,38
30/01/2013,18,12,36,48,14,63,39,26,-99,45,59,37,28,-99,9,26,51,-99,44,34,55,16,49,29,42,35,38,18,35
30/01/2013,19,24,53,68,22,84,71,40,-99,63,82,57,42,66,15,56,72,-99,90,64,98,44,60,53,31,58,65,29,40
